payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
grocery_0,0,ridehail-0,others,loading,487,30600,25200,79200,300,-122.261622,37.769801,487.0,,,2.2679618500000003,pickup-delivery,
grocery_0,1,ridehail-0,others,unloading,1,32066,25200,79200,360,-122.23886852980748,37.88153457364881,1.0,,,2.2679618500000003,pickup-delivery,
grocery_1,0,ridehail-1,others,loading,209,38400,25200,79200,840,-122.20073,37.793462,209.0,,,3.17514659,pickup-delivery,
grocery_1,1,ridehail-1,others,unloading,4,39762,25200,79200,360,-122.24881097182744,37.84253683602448,4.0,,,3.17514659,pickup-delivery,
grocery_2,0,ridehail-2,others,loading,44,40200,25200,79200,1020,-122.27849,37.825666,44.0,,,3.62873896,pickup-delivery,
grocery_2,1,ridehail-2,others,unloading,6,41379,25200,79200,300,-122.2577408165024,37.83973483502159,6.0,,,3.62873896,pickup-delivery,
grocery_3,0,ridehail-3,others,loading,187,33000,25200,79200,1020,-122.2193511,37.7913195,187.0,,,1.81436948,pickup-delivery,
grocery_3,1,ridehail-3,others,unloading,7,34465,25200,79200,360,-122.25245487647608,37.84149195448725,7.0,,,1.81436948,pickup-delivery,
grocery_4,0,ridehail-4,others,loading,559,30000,25200,79200,1020,-122.162895,37.736179,559.0,,,1.81436948,pickup-delivery,
grocery_4,1,ridehail-4,others,unloading,7,32207,25200,79200,540,-122.2534643116203,37.841208247960026,7.0,,,1.81436948,pickup-delivery,
grocery_5,0,ridehail-5,others,loading,261,36600,25200,79200,780,-122.1700062,37.7673063,261.0,,,3.62873896,pickup-delivery,
grocery_5,1,ridehail-5,others,unloading,8,38166,25200,79200,360,-122.25701836596974,37.85240710080141,8.0,,,3.62873896,pickup-delivery,
grocery_6,0,ridehail-6,others,loading,28,67800,25200,79200,1020,-122.2691548,37.8281232,28.0,,,4.082331330000001,pickup-delivery,
grocery_6,1,ridehail-6,others,unloading,10,69010,25200,79200,360,-122.25905096541976,37.84752529756023,10.0,,,4.082331330000001,pickup-delivery,
grocery_7,0,ridehail-7,others,loading,3,49200,25200,79200,1140,-122.252707,37.845566,3.0,,,0.90718474,pickup-delivery,
grocery_7,1,ridehail-7,others,unloading,11,50480,25200,79200,420,-122.26237516907013,37.84588824099712,11.0,,,0.90718474,pickup-delivery,
grocery_8,0,ridehail-8,others,loading,420,44400,25200,79200,1080,-122.2672441,37.8570304,420.0,,,3.62873896,pickup-delivery,
grocery_8,1,ridehail-8,others,unloading,12,45591,25200,79200,120,-122.26576727113849,37.84604041159716,12.0,,,3.62873896,pickup-delivery,
grocery_9,0,ridehail-9,others,loading,9,39600,25200,79200,360,-122.2609821,37.8449053,9.0,,,0.0,pickup-delivery,
grocery_9,1,ridehail-9,others,loading,14,40002,25200,79200,480,-122.26537250234428,37.84387929252324,14.0,,,0.0,pickup-delivery,
