payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
1-db2b0,0,b2b-0,mfr_goods,loading,367,36600,0,0,0,-122.25936078309763,37.88031565607525,367.0,,,129.72741782,delivery-only,
1-b2b170,1,b2b-0,mfr_goods,unloading,9462,42480,22980,86400,1020,-122.71346759563168,38.44099376755987,9462.0,523900,511120,129.72741782,delivery-only,private
1-db2b0-,2,b2b-0,mfr_goods,loading,367,48720,0,0,0,-122.25936078309763,37.88031565607525,367.0,,,0.0,delivery-only,
1-db2b1,0,b2b-1,mfr_goods,loading,225,41400,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,653.6266051700001,delivery-only,
1-b2b149,1,b2b-1,mfr_goods,unloading,1665,44580,28200,86400,1200,-121.96834913793025,37.75970946450696,1665.0,624100,511120,131.08819493000001,delivery-only,private
1-b2b132,2,b2b-1,mfr_goods,unloading,8549,49740,26340,86400,300,-121.7971210437654,37.23539040693041,8549.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b131,3,b2b-1,mfr_goods,unloading,8549,50040,25980,86400,1080,-121.7995992734012,37.2337458928362,8549.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b130,4,b2b-1,mfr_goods,unloading,8549,51120,34920,86400,660,-121.7998436262838,37.23323198802489,8549.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b133,5,b2b-1,mfr_goods,unloading,8161,52440,18960,86400,660,-121.91590899434358,37.24044631173856,8161.0,624100,511120,130.63460256000002,delivery-only,private
1-db2b1-,6,b2b-1,mfr_goods,loading,225,57180,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b2,0,b2b-2,mfr_goods,loading,225,41400,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,522.99200261,delivery-only,
1-b2b141,1,b2b-2,mfr_goods,unloading,7040,44820,37800,86400,960,-122.29975421495884,37.566245509408304,7040.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b135,2,b2b-2,mfr_goods,unloading,6794,47100,36000,86400,1200,-122.4169212175311,37.699357221122064,6794.0,611A00,511120,130.63460256000002,delivery-only,private
1-b2b136,3,b2b-2,mfr_goods,unloading,6794,48300,30000,86400,540,-122.41277829331572,37.70447043646993,6794.0,611A00,511120,130.63460256000002,delivery-only,private
1-b2b148,4,b2b-2,mfr_goods,unloading,5837,49380,28800,86400,1140,-122.41053216735166,37.776286789123695,5837.0,511120,511120,131.08819493000001,delivery-only,private
1-db2b2-,5,b2b-2,mfr_goods,loading,225,52140,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b3,0,b2b-3,mfr_goods,loading,225,41400,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,784.7148001,delivery-only,
1-b2b147,1,b2b-3,mfr_goods,unloading,5837,44160,36000,86400,420,-122.40794756174785,37.77620391804351,5837.0,511120,511120,131.08819493000001,delivery-only,private
1-b2b137,2,b2b-3,mfr_goods,unloading,6150,45420,31200,86400,1140,-122.50592280212943,37.74445675214491,6150.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b138,3,b2b-3,mfr_goods,unloading,6150,46560,34260,86400,540,-122.5077506329196,37.741579745420665,6150.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b139,4,b2b-3,mfr_goods,unloading,9344,51720,34020,86400,1080,-122.6323978178267,38.25872010695896,9344.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b146,5,b2b-3,mfr_goods,unloading,3643,54360,30900,86400,600,-122.55913437601544,38.08210978057853,3643.0,511120,511120,131.08819493000001,delivery-only,private
1-b2b129,6,b2b-3,mfr_goods,unloading,411,57720,36300,86400,1140,-122.28282746173844,37.86075201729517,411.0,621600,511120,130.63460256000002,delivery-only,private
1-db2b3-,7,b2b-3,mfr_goods,loading,225,59880,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b4,0,b2b-4,mfr_goods,loading,225,41400,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,654.53378991,delivery-only,
1-b2b140,1,b2b-4,mfr_goods,unloading,7040,44820,21420,86400,1140,-122.30099054198836,37.565624729843854,7040.0,624100,511120,130.63460256000002,delivery-only,private
1-b2b134,2,b2b-4,mfr_goods,unloading,7029,46140,27300,86400,660,-122.31435096363046,37.54230972100632,7029.0,624A00,511120,130.63460256000002,delivery-only,private
1-b2b154,3,b2b-4,mfr_goods,unloading,7188,48060,33600,86400,420,-122.13030415723766,37.465764992084296,7188.0,511120,511120,131.08819493000001,delivery-only,private
1-b2b152,4,b2b-4,mfr_goods,unloading,913,49620,18420,86400,960,-122.02794329641434,37.5470970890356,913.0,541610,511120,131.08819493000001,delivery-only,private
1-b2b144,5,b2b-4,mfr_goods,unloading,833,50820,27840,86400,300,-122.00826851873296,37.55795287747454,833.0,541512,511120,131.08819493000001,delivery-only,private
1-db2b4-,6,b2b-4,mfr_goods,loading,225,52980,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b5,0,b2b-5,mfr_goods,loading,225,34800,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,131.08819493000001,delivery-only,
1-b2b160,1,b2b-5,mfr_goods,unloading,9578,41880,25620,86400,600,-122.86480827817849,38.416783103749424,9578.0,425000,511120,131.08819493000001,delivery-only,private
1-db2b5-,2,b2b-5,mfr_goods,loading,225,48300,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b6,0,b2b-6,mfr_goods,loading,225,25800,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,654.98738228,delivery-only,
1-b2b151,1,b2b-6,mfr_goods,unloading,913,28920,28200,86400,1140,-122.03441719152792,37.55741463278467,913.0,541610,511120,131.08819493000001,delivery-only,private
1-b2b153,2,b2b-6,mfr_goods,unloading,8589,34200,30000,86400,720,-121.62570859698316,37.16056061108253,8589.0,541700,511120,131.08819493000001,delivery-only,private
1-b2b155,3,b2b-6,mfr_goods,unloading,8499,36540,19440,86400,1080,-121.74064078820786,37.23874021562157,8499.0,550000,511120,131.08819493000001,delivery-only,private
1-b2b156,4,b2b-6,mfr_goods,unloading,3779,43680,22080,86400,360,-122.489089726724,37.85953986329992,3779.0,511120,511120,131.08819493000001,delivery-only,private
1-b2b143,5,b2b-6,mfr_goods,unloading,9361,47580,26220,86400,1080,-122.645713237777,38.20397287905904,9361.0,624100,511120,130.63460256000002,delivery-only,private
1-db2b6-,6,b2b-6,mfr_goods,loading,225,53460,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b7,0,b2b-7,mfr_goods,loading,225,25800,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,654.53378991,delivery-only,
1-b2b150,1,b2b-7,mfr_goods,unloading,850,29220,26400,86400,840,-121.9701447731608,37.55615553638626,850.0,541700,511120,131.08819493000001,delivery-only,private
1-b2b159,2,b2b-7,mfr_goods,unloading,9578,37980,27000,86400,1200,-122.86694378904618,38.42217438184797,9578.0,425000,511120,131.08819493000001,delivery-only,private
1-b2b145,3,b2b-7,mfr_goods,unloading,3643,42360,20520,86400,1140,-122.56213099566054,38.08098444028311,3643.0,511120,511120,131.08819493000001,delivery-only,private
1-b2b142,4,b2b-7,mfr_goods,unloading,3723,44640,39420,86400,720,-122.52253248310736,37.94363698449494,3723.0,425000,511120,130.63460256000002,delivery-only,private
1-b2b128,5,b2b-7,mfr_goods,unloading,1840,46860,39120,86400,720,-122.34877805664472,37.979862675026816,1840.0,425000,511120,130.63460256000002,delivery-only,private
1-db2b7-,6,b2b-7,mfr_goods,loading,225,49620,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b8,0,b2b-8,mfr_goods,loading,225,36600,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,262.17638986000003,delivery-only,
1-b2b158,1,b2b-8,mfr_goods,unloading,7243,43020,31440,100800,1140,-122.23074723065189,37.26950462828045,8725.0,339990,511120,131.08819493000001,delivery-only,private
1-b2b157,2,b2b-8,mfr_goods,unloading,7243,44160,31800,100800,1200,-122.23074723065189,37.26950462828045,8725.0,339990,511120,131.08819493000001,delivery-only,private
1-db2b8-,3,b2b-8,mfr_goods,loading,225,51420,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b9,0,b2b-9,mfr_goods,loading,225,36600,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,130.63460256000002,delivery-only,
1-b2b161,1,b2b-9,mfr_goods,unloading,9281,43140,28200,100800,960,-121.871383713955,38.21089268925498,5472.0,511120,511120,130.63460256000002,delivery-only,private
1-db2b9-,2,b2b-9,mfr_goods,loading,225,50340,0,0,0,-122.2106137157871,37.759687664073645,225.0,,,0.0,delivery-only,
1-db2b10,0,b2b-10,mfr_goods,loading,1020,44400,0,0,0,-121.72245523498933,37.67346592190536,1020.0,,,262.62998223,delivery-only,
