payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,weightInKg
b2b-all-2346771-1-0hdt-d-0-61-db2b0,0,b2b-all-2346771-1-0hdt-d-0,1,1,3733,43560,0,0,0,-122.1289324178106,47.848033713187206,261.72279749
b2b-all-2346771-1-0hdt-d-0-61-b2b944,1,b2b-all-2346771-1-0hdt-d-0,1,1,5897,55860,29640,100800,36000,-123.21550111052947,44.80748760973425,131.08819493000001
b2b-all-2346771-1-0hdt-d-0-61-b2b943,2,b2b-all-2346771-1-0hdt-d-0,1,1,5897,91860,37560,100800,36000,-123.21550111052947,44.80748760973425,130.63460256000002
b2b-all-2346771-1-0hdt-d-0-61-db2b0-,3,b2b-all-2346771-1-0hdt-d-0,1,1,3733,138660,0,0,0,-122.1289324178106,47.848033713187206,0.0
b2b-all-2351681-1-1hdt-d-1-61-db2b1,0,b2b-all-2351681-1-1hdt-d-1,1,1,3609,36660,0,0,0,-122.31215523558774,47.81567610469518,261.26920512000004
b2b-all-2351681-1-1hdt-d-1-61-b2b1960,1,b2b-all-2351681-1-1hdt-d-1,1,1,3895,42360,29460,100800,36000,-121.26884369455286,48.17174536079158,130.63460256000002
b2b-all-2351681-1-1hdt-d-1-61-b2b1961,2,b2b-all-2351681-1-1hdt-d-1,1,1,2128,88440,36300,100800,36000,-121.69744610643237,47.16798796331104,130.63460256000002
b2b-all-2351681-1-1hdt-d-1-61-db2b1-,3,b2b-all-2351681-1-1hdt-d-1,1,1,3609,132240,0,0,0,-122.31215523558774,47.81567610469518,0.0
b2b-all-2353881-2-2hdt-d-0-2-61-db2b2,0,b2b-all-2353881-2-2hdt-d-0-2,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,261.26920512000004
b2b-all-2353881-2-2hdt-d-0-2-61-b2b1901,1,b2b-all-2353881-2-2hdt-d-0-2,1,1,3469,37620,36000,86400,660,-122.20154059462352,47.9082257634626,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-2-61-b2b1902,2,b2b-all-2353881-2-2hdt-d-0-2,1,1,3469,38280,18300,86400,360,-122.20605744314288,47.91301344261846,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-2-61-db2b2-,3,b2b-all-2353881-2-2hdt-d-0-2,1,1,3635,39360,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-0-3-61-db2b3,0,b2b-all-2353881-2-2hdt-d-0-3,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,1178.8865696300002
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1896,1,b2b-all-2353881-2-2hdt-d-0-3,1,1,3653,37500,31740,86400,600,-122.25500099196246,47.795223673569645,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1911,2,b2b-all-2353881-2-2hdt-d-0-3,1,1,1349,40080,36000,86400,960,-122.32658146251474,47.550896020865295,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1912,3,b2b-all-2353881-2-2hdt-d-0-3,1,1,1349,41040,27060,86400,1020,-122.3368134368456,47.54685436039636,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1913,4,b2b-all-2353881-2-2hdt-d-0-3,1,1,1349,42060,24660,86400,360,-122.33815882596664,47.55133020350736,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1910,5,b2b-all-2353881-2-2hdt-d-0-3,1,1,1914,43860,32640,86400,780,-122.2050123380569,47.4356444627674,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1909,6,b2b-all-2353881-2-2hdt-d-0-3,1,1,1914,44640,21960,86400,840,-122.20628516269772,47.440246152103576,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1883,7,b2b-all-2353881-2-2hdt-d-0-3,1,1,2374,49140,25800,86400,960,-122.70128441992682,47.53433913839454,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1908,8,b2b-all-2353881-2-2hdt-d-0-3,1,1,2363,50580,34980,86400,840,-122.63051550252533,47.5687178488546,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-b2b1907,9,b2b-all-2353881-2-2hdt-d-0-3,1,1,2363,51420,29700,86400,600,-122.62896827334266,47.56757356828008,131.08819493000001
b2b-all-2353881-2-2hdt-d-0-3-61-db2b3-,10,b2b-all-2353881-2-2hdt-d-0-3,1,1,3635,55980,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-0-4-61-db2b4,0,b2b-all-2353881-2-2hdt-d-0-4,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,1175.71142304
b2b-all-2353881-2-2hdt-d-0-4-61-b2b1876,1,b2b-all-2353881-2-2hdt-d-0-4,1,1,1254,38940,25980,86400,900,-122.2959159676252,47.60792729892247,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-4-61-b2b1875,2,b2b-all-2353881-2-2hdt-d-0-4,1,1,1254,39840,30600,86400,600,-122.29771580998116,47.6051139171186,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-4-61-b2b1880,3,b2b-all-2353881-2-2hdt-d-0-4,1,1,1079,41040,25200,86400,900,-122.3003834881982,47.663726437921255,130.63460256000002
