payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,weightInKg
b2b-all-1103447-1-0md-d-0-0-61-db2b0,0,b2b-all-1103447-1-0md-d-0-0,1,1,3903,23880,0,0,0,-121.78016460504222,47.87020262389638,72.12118683
b2b-all-1103447-1-0md-d-0-0-61-b2b2723,1,b2b-all-1103447-1-0md-d-0-0,1,1,1469,27900,27900,86400,960,-122.25424211495852,47.76611685648006,24.04039561
b2b-all-1103447-1-0md-d-0-0-61-b2b2724,2,b2b-all-1103447-1-0md-d-0-0,1,1,1469,28860,22920,86400,1080,-122.2507275366688,47.76990264950506,24.04039561
b2b-all-1103447-1-0md-d-0-0-61-b2b2725,3,b2b-all-1103447-1-0md-d-0-0,1,1,1469,29940,21600,86400,1140,-122.25247607858432,47.76535657186401,24.04039561
b2b-all-1103447-1-0md-d-0-0-61-db2b0-,4,b2b-all-1103447-1-0md-d-0-0,1,1,3903,34500,0,0,0,-121.78016460504222,47.87020262389638,0.0
b2b-all-1103447-1-0md-d-0-1-61-db2b1,0,b2b-all-1103447-1-0md-d-0-1,1,1,3903,34500,0,0,0,-121.78016460504222,47.87020262389638,216.36356049
b2b-all-1103447-1-0md-d-0-1-61-b2b2721,1,b2b-all-1103447-1-0md-d-0-1,1,1,1469,39420,39420,86400,1020,-122.25204750309034,47.764869878142136,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2707,2,b2b-all-1103447-1-0md-d-0-1,1,1,1367,43020,26400,86400,1020,-122.33656543044113,47.52706213319188,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2715,3,b2b-all-1103447-1-0md-d-0-1,1,1,2039,46500,28380,86400,840,-122.3551191244534,47.29233852492731,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2714,4,b2b-all-1103447-1-0md-d-0-1,1,1,2039,47340,25440,86400,780,-122.34975054414126,47.29532624303057,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2713,5,b2b-all-1103447-1-0md-d-0-1,1,1,2039,48120,34740,86400,600,-122.35949329159465,47.29497054799593,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2712,6,b2b-all-1103447-1-0md-d-0-1,1,1,2039,48720,29880,86400,600,-122.36047788076073,47.29958765158358,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2711,7,b2b-all-1103447-1-0md-d-0-1,1,1,2039,49320,30780,86400,600,-122.3463923649569,47.29238285164523,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2710,8,b2b-all-1103447-1-0md-d-0-1,1,1,2039,49920,23280,86400,360,-122.35807136356026,47.296657185389314,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-b2b2720,9,b2b-all-1103447-1-0md-d-0-1,1,1,1469,53760,37200,86400,780,-122.25056033762668,47.76819392701108,24.04039561
b2b-all-1103447-1-0md-d-0-1-61-db2b1-,10,b2b-all-1103447-1-0md-d-0-1,1,1,3903,57960,0,0,0,-121.78016460504222,47.87020262389638,0.0
b2b-all-1103447-1-0md-d-0-2-61-db2b2,0,b2b-all-1103447-1-0md-d-0-2,1,1,3903,31680,0,0,0,-121.78016460504222,47.87020262389638,192.32316488
b2b-all-1103447-1-0md-d-0-2-61-b2b2722,1,b2b-all-1103447-1-0md-d-0-2,1,1,1469,36600,36600,86400,840,-122.25346865385964,47.7712982452552,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2719,2,b2b-all-1103447-1-0md-d-0-2,1,1,1298,39720,34260,86400,480,-122.35838589674992,47.55946617304799,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2718,3,b2b-all-1103447-1-0md-d-0-2,1,1,1298,40200,35400,86400,660,-122.35746899686472,47.5605969603307,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2717,4,b2b-all-1103447-1-0md-d-0-2,1,1,1298,40860,31200,86400,960,-122.35198430628198,47.56138884291701,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2716,5,b2b-all-1103447-1-0md-d-0-2,1,1,1298,41820,31800,86400,480,-122.36232835683968,47.56513916747993,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2709,6,b2b-all-1103447-1-0md-d-0-2,1,1,1367,42660,23880,86400,720,-122.3371509545714,47.53306111721271,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2708,7,b2b-all-1103447-1-0md-d-0-2,1,1,1367,43380,27600,86400,780,-122.33988310601494,47.52755317797744,24.04039561
b2b-all-1103447-1-0md-d-0-2-61-b2b2706,8,b2b-all-1103447-1-0md-d-0-2,1,1,1634,45420,38400,86400,1140,-122.20668905897074,47.61681409373372,24.04039561
