carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY
b2b-all-2351679-1-0md-d,b2b-all-2351679-1-0md-d-0,b2b-all-2351679-1-0md-d-9,freight-md-D-Diesel-Baseline,3826,-122.18261904679127,48.04990684095329
b2b-all-2351679-1-0hdt-d,b2b-all-2351679-1-0hdt-d-1,b2b-all-2351679-1-0hdt-d-44,freight-hdt-D-Diesel-Baseline,3826,-122.18261904679127,48.04990684095329
b2b-all-2353880-1-1hdt-d,b2b-all-2353880-1-1hdt-d-2,b2b-all-2353880-1-1hdt-d-55,freight-hdt-D-Diesel-Baseline,3589,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-1hdt-d,b2b-all-2353880-1-1hdt-d-3,b2b-all-2353880-1-1hdt-d-59,freight-hdt-D-Diesel-Baseline,3589,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-1hdt-d,b2b-all-2353880-1-1hdt-d-4,b2b-all-2353880-1-1hdt-d-60,freight-hdt-D-Diesel-Baseline,3589,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-2hdt-d,b2b-all-2353880-1-2hdt-d-5,b2b-all-2353880-1-2hdt-d-76,freight-hdt-D-Diesel-Baseline,3589,-122.32929698162673,47.79902637127254
b2b-all-2353882-2-3hdv-d-0,b2b-all-2353882-2-3hdv-d-0-6,b2b-all-2353882-2-3hdv-d-0-92,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-0,b2b-all-2353882-2-3hdv-d-0-7,b2b-all-2353882-2-3hdv-d-0-97,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-0,b2b-all-2353882-2-3hdv-d-0-8,b2b-all-2353882-2-3hdv-d-0-98,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1,b2b-all-2353882-2-3hdv-d-1-9,b2b-all-2353882-2-3hdv-d-1-109,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1,b2b-all-2353882-2-3hdv-d-1-10,b2b-all-2353882-2-3hdv-d-1-114,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1,b2b-all-2353882-2-3hdv-d-1-11,b2b-all-2353882-2-3hdv-d-1-115,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2,b2b-all-2353882-2-3hdv-d-2-12,b2b-all-2353882-2-3hdv-d-2-126,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2,b2b-all-2353882-2-3hdv-d-2-13,b2b-all-2353882-2-3hdv-d-2-131,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2,b2b-all-2353882-2-3hdv-d-2-14,b2b-all-2353882-2-3hdv-d-2-132,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3,b2b-all-2353882-2-3hdv-d-3-15,b2b-all-2353882-2-3hdv-d-3-143,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3,b2b-all-2353882-2-3hdv-d-3-16,b2b-all-2353882-2-3hdv-d-3-148,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3,b2b-all-2353882-2-3hdv-d-3-17,b2b-all-2353882-2-3hdv-d-3-149,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4,b2b-all-2353882-2-3hdv-d-4-18,b2b-all-2353882-2-3hdv-d-4-160,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4,b2b-all-2353882-2-3hdv-d-4-19,b2b-all-2353882-2-3hdv-d-4-165,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4,b2b-all-2353882-2-3hdv-d-4-20,b2b-all-2353882-2-3hdv-d-4-166,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5,b2b-all-2353882-2-3hdv-d-5-21,b2b-all-2353882-2-3hdv-d-5-177,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5,b2b-all-2353882-2-3hdv-d-5-22,b2b-all-2353882-2-3hdv-d-5-182,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5,b2b-all-2353882-2-3hdv-d-5-23,b2b-all-2353882-2-3hdv-d-5-183,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-6,b2b-all-2353882-2-3hdv-d-6-24,b2b-all-2353882-2-3hdv-d-6-200,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-4hdv-d,b2b-all-2353882-2-4hdv-d-25,b2b-all-2353882-2-4hdv-d-217,freight-hdv-D-Diesel-Baseline,3625,-122.28659156226864,47.82652426147904
b2b-all-2353887-1-5hdv-d,b2b-all-2353887-1-5hdv-d-26,b2b-all-2353887-1-5hdv-d-233,freight-hdv-D-Diesel-Baseline,3754,-121.96997707108169,47.85466090083877
b2b-all-2353888-1-6hdt-d,b2b-all-2353888-1-6hdt-d-27,b2b-all-2353888-1-6hdt-d-244,freight-hdt-D-Diesel-Baseline,3181,-122.78777614001072,47.20701293088086
b2b-all-2355274-2-7hdt-d-0,b2b-all-2355274-2-7hdt-d-0-28,b2b-all-2355274-2-7hdt-d-0-255,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-0,b2b-all-2355274-2-7hdt-d-0-29,b2b-all-2355274-2-7hdt-d-0-259,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-0,b2b-all-2355274-2-7hdt-d-0-30,b2b-all-2355274-2-7hdt-d-0-260,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1,b2b-all-2355274-2-7hdt-d-1-31,b2b-all-2355274-2-7hdt-d-1-271,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1,b2b-all-2355274-2-7hdt-d-1-32,b2b-all-2355274-2-7hdt-d-1-275,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1,b2b-all-2355274-2-7hdt-d-1-33,b2b-all-2355274-2-7hdt-d-1-276,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-2,b2b-all-2355274-2-7hdt-d-2-34,b2b-all-2355274-2-7hdt-d-2-292,freight-hdt-D-Diesel-Baseline,3630,-122.26602138049964,47.83062485195299
b2b-all-2355276-1-8hdv-d,b2b-all-2355276-1-8hdv-d-35,b2b-all-2355276-1-8hdv-d-311,freight-hdv-D-Diesel-Baseline,3817,-122.1681014623342,48.085244490126605
b2b-all-2355276-1-8hdv-d,b2b-all-2355276-1-8hdv-d-36,b2b-all-2355276-1-8hdv-d-312,freight-hdv-D-Diesel-Baseline,3817,-122.1681014623342,48.085244490126605
b2b-all-2355276-1-8hdv-d,b2b-all-2355276-1-8hdv-d-37,b2b-all-2355276-1-8hdv-d-313,freight-hdv-D-Diesel-Baseline,3817,-122.1681014623342,48.085244490126605
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-38,b2b-all-29411-2-9md-d-314,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-39,b2b-all-29411-2-9md-d-324,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-40,b2b-all-29411-2-9md-d-325,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-41,b2b-all-29411-2-9md-d-326,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-42,b2b-all-29411-2-9md-d-327,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-43,b2b-all-29411-2-9md-d-328,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d,b2b-all-29411-2-9md-d-44,b2b-all-29411-2-9md-d-329,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdt-d,b2b-all-29411-2-9hdt-d-45,b2b-all-29411-2-9hdt-d-371,freight-hdt-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d,b2b-all-29411-2-9hdv-d-46,b2b-all-29411-2-9hdv-d-432,freight-hdv-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
