payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
61-db2b0,0,b2b-0,mfr_goods,loading,5885,19800,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,131.08819493000001,delivery-only,
61-b2b1039,1,b2b-0,mfr_goods,unloading,3643,38100,29400,86400,840,-122.10965972547947,47.77770464868699,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-db2b0-,2,b2b-0,mfr_goods,loading,5885,56640,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,0.0,delivery-only,
61-db2b1,0,b2b-1,mfr_goods,loading,5885,19800,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,131.08819493000001,delivery-only,
61-b2b1040,1,b2b-1,mfr_goods,unloading,3643,38100,22500,86400,1140,-122.12180727288056,47.79040952311456,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-db2b1-,2,b2b-1,mfr_goods,loading,5885,56940,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,0.0,delivery-only,
61-db2b2,0,b2b-2,mfr_goods,loading,5885,31200,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,524.3527797200001,delivery-only,
61-b2b1049,1,b2b-2,mfr_goods,unloading,3643,49800,24360,86400,1140,-122.12249493554536,47.78820961292838,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1048,2,b2b-2,mfr_goods,unloading,3643,50940,33960,86400,300,-122.13695555202403,47.793289554862525,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1047,3,b2b-2,mfr_goods,unloading,3643,51240,25200,86400,780,-122.11878735034244,47.78261449776488,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1052,4,b2b-2,mfr_goods,unloading,3643,52020,23100,86400,960,-122.1338530954516,47.80076338692228,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-db2b2-,5,b2b-2,mfr_goods,loading,5885,70680,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,0.0,delivery-only,
61-db2b3,0,b2b-3,mfr_goods,loading,5885,31200,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,786.52916958,delivery-only,
61-b2b1054,1,b2b-3,mfr_goods,unloading,3643,49800,26280,86400,780,-122.13289618459945,47.80333862714281,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1053,2,b2b-3,mfr_goods,unloading,3643,50580,29580,86400,960,-122.12404724462242,47.79693888788449,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1046,3,b2b-3,mfr_goods,unloading,3643,51540,33960,86400,420,-122.14311906476496,47.80186725429537,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1045,4,b2b-3,mfr_goods,unloading,3643,51960,33600,86400,780,-122.12144478065424,47.79515322812332,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1042,5,b2b-3,mfr_goods,unloading,3643,52740,28020,86400,300,-122.1403954135922,47.78594199970438,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1041,6,b2b-3,mfr_goods,unloading,3643,53040,25620,86400,660,-122.14124935044592,47.79963078792685,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-db2b3-,7,b2b-3,mfr_goods,loading,5885,71400,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,0.0,delivery-only,
61-db2b4,0,b2b-4,mfr_goods,loading,5885,31200,0,0,0,-123.12937065688313,44.996098710739325,5798.0,,,524.3527797200001,delivery-only,
61-b2b1050,1,b2b-4,mfr_goods,unloading,3643,49800,36180,86400,900,-122.14115041067348,47.79537485579203,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
61-b2b1044,2,b2b-4,mfr_goods,unloading,3643,50700,30000,86400,960,-122.11428512678955,47.78391919735826,3643.0,424200,5111A0,131.08819493000001,delivery-only,private
