level_0,payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,distance,weightInKg,deliveryType,fleetType
0,61-db2b0,0,b2b-0,mfr_goods,loading,3903,27000,0,0,0,-121.7917262934143,47.86672512992315,3903.0,,,0.0,24.04039561,delivery-only,
1,61-b2b9305,1,b2b-0,mfr_goods,unloading,3248,39060,27360,100800,960,-122.22687900228613,46.7689413928168,5972.0,423600,424200.0,111.711769227671,24.04039561,delivery-only,private
2,61-db2b0-,2,b2b-0,mfr_goods,loading,3903,51480,0,0,0,-121.7917262934143,47.86672512992315,3903.0,,,111.711769227671,0.0,delivery-only,
242,61-db2b55,0,b2b-55,mfr_goods,loading,3630,30360,0,0,0,-122.27057351288464,47.83460386030225,3630.0,,,0.0,261.26920512000004,delivery-only,
243,61-b2b518,1,b2b-55,mfr_goods,unloading,3643,34440,34440,86400,300,-122.12351560935228,47.80443154664566,3643.0,424200,5111A0,10.973889084290551,130.63460256000002,delivery-only,private
244,61-b2b527,2,b2b-55,mfr_goods,unloading,1664,37440,28800,86400,1080,-122.22147108936824,47.540383839686456,1664.0,533000,5111A0,26.727557515198185,130.63460256000002,delivery-only,private
245,61-db2b55-,3,b2b-55,mfr_goods,loading,3630,41640,0,0,0,-122.27057351288464,47.83460386030225,3630.0,,,30.447584023160008,0.0,delivery-only,
382,61-db2b90,0,b2b-90,bulk,loading,3860,34800,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,9071.8474,delivery-only,
383,61-b2b8147,1,b2b-90,bulk,unloading,3515,39540,26700,86400,1020,-122.25406299922886,47.88079841788297,3515.0,112120,212310.0,40.74037850652798,9071.8474,delivery-only,private
384,61-db2b90-,2,b2b-90,bulk,loading,3860,44700,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,40.74037850652798,0.0,delivery-only,
400,61-db2b96,0,b2b-96,bulk,loading,3860,34800,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,9071.8474,delivery-only,
401,61-b2b8141,1,b2b-96,bulk,unloading,3515,39540,21780,86400,1980,-122.2406377593636,47.87903449504503,3515.0,112120,212310.0,40.74037850652798,9071.8474,delivery-only,private
402,61-db2b96-,2,b2b-96,bulk,loading,3860,45660,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,40.74037850652798,0.0,delivery-only,
412,61-db2b100,0,b2b-100,bulk,loading,3860,34800,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,9071.8474,delivery-only,
413,61-b2b8159,1,b2b-100,bulk,unloading,3819,36480,28800,86400,3780,-122.1676586036057,48.08766021434944,3819.0,230301,212310.0,18.641535894186926,9071.8474,delivery-only,private
414,61-db2b100-,2,b2b-100,bulk,loading,3860,42300,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,18.641535894186926,0.0,delivery-only,
439,61-db2b109,0,b2b-109,bulk,loading,3860,33120,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,5540.177207180001,delivery-only,
440,61-b2b8160,1,b2b-109,bulk,unloading,3819,36600,36600,86400,1020,-122.17078485782696,48.09508651812919,3819.0,230301,212310.0,18.641535894186926,5540.177207180001,delivery-only,private
441,61-db2b109-,2,b2b-109,bulk,loading,3860,39660,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,18.641535894186926,0.0,delivery-only,
448,61-db2b112,0,b2b-112,bulk,loading,3860,29460,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,9071.8474,delivery-only,
449,61-b2b8324,1,b2b-112,bulk,unloading,3515,36000,36000,86400,1320,-122.25281743327383,47.88177475183848,3515.0,112120,212310.0,40.74037850652798,9071.8474,delivery-only,private
450,61-db2b112-,2,b2b-112,bulk,loading,3860,41460,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,40.74037850652798,0.0,delivery-only,
463,61-db2b117,0,b2b-117,bulk,loading,3860,31800,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
464,61-b2b8326,1,b2b-117,bulk,unloading,3700,36420,36420,86400,4860,-122.20844139356848,47.853054553531024,3700.0,230301,212310.0,42.84383326591256,23683.87200718,delivery-only,private
465,61-db2b117-,2,b2b-117,bulk,loading,3860,44160,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,42.84383326591256,0.0,delivery-only,
505,61-db2b131,0,b2b-131,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
506,61-b2b7942,1,b2b-131,bulk,unloading,3700,38520,32820,86400,1620,-122.2092395757519,47.85378367420881,3700.0,230301,212310.0,42.84383326591256,23683.87200718,delivery-only,private
507,61-db2b131-,2,b2b-131,bulk,loading,3860,43020,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,42.84383326591256,0.0,delivery-only,
523,61-db2b137,0,b2b-137,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
524,61-b2b7938,1,b2b-137,bulk,unloading,3515,40440,26520,86400,6000,-122.2427838830408,47.880302087012325,3515.0,112120,212310.0,40.74037850652798,23683.87200718,delivery-only,private
525,61-db2b137-,2,b2b-137,bulk,loading,3860,50580,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,40.74037850652798,0.0,delivery-only,
532,61-db2b140,0,b2b-140,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23684.779191920003,delivery-only,
533,61-b2b7877,1,b2b-140,bulk,unloading,3497,37860,20280,86400,10320,-122.2187676448957,47.922042005508274,3497.0,230301,212310.0,36.8082595715021,23684.779191920003,delivery-only,private
534,61-db2b140-,2,b2b-140,bulk,loading,3860,51960,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,36.8082595715021,0.0,delivery-only,
544,61-db2b144,0,b2b-144,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
545,61-b2b7873,1,b2b-144,bulk,unloading,3700,38220,31140,86400,6120,-122.2025199908206,47.858645058287046,3700.0,230301,212310.0,42.84383326591256,23683.87200718,delivery-only,private
546,61-db2b144-,2,b2b-144,bulk,loading,3860,47220,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,42.84383326591256,0.0,delivery-only,
553,61-db2b147,0,b2b-147,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
554,61-b2b7870,1,b2b-147,bulk,unloading,3819,37080,34800,86400,1020,-122.1701596980214,48.09696284607306,3819.0,230301,212310.0,18.641535894186926,23683.87200718,delivery-only,private
555,61-db2b147-,2,b2b-147,bulk,loading,3860,40140,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,18.641535894186926,0.0,delivery-only,
562,61-db2b150,0,b2b-150,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
563,61-b2b7867,1,b2b-150,bulk,unloading,3515,40140,32040,86400,3480,-122.25613588696392,47.88103727471466,3515.0,112120,212310.0,40.74037850652798,23683.87200718,delivery-only,private
564,61-db2b150-,2,b2b-150,bulk,loading,3860,47760,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,40.74037850652798,0.0,delivery-only,
565,61-db2b151,0,b2b-151,bulk,loading,3860,35400,0,0,0,-122.18201315878572,48.25233607153138,3359.0,,,0.0,23683.87200718,delivery-only,
