taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3534656,47.6173785,517594,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3423118,47.6133574,517615,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3421083,47.6118287,517620,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3511954,47.6174192,517626,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3554967,47.6241485,517632,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.347583,47.6139012,517643,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194612,47.6201066,517649,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3393932,47.6080074,517676,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3360399,47.6062955,517681,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3605549,47.6236047,517682,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3553504,47.6207271,517691,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3423554,47.6110109,517736,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.316741,47.6155398,517748,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3301865,47.6003008,517749,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3343252,47.5977613,517778,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3327682,47.6024057,517794,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3167475,47.6159467,517798,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3499434,47.6152981,517803,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3395646,47.6084658,517809,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3607075,47.6243115,517843,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3340579,47.5974446,517850,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.344439,47.6120577,517867,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3385613,47.6070614,517869,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3474581,47.6138275,517878,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194691,47.6206045,517889,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3344447,47.6059278,517912,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3442126,47.6130787,517920,Any,Block,0.0,1.0,
