tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-11887,56400,1862,43200,-122.34381199195116,47.45465119307976,1862.0
b2b-869,48000,3633,43200,-122.2785691978281,47.85917229832746,3633.0
b2b-15094,26400,1517,43200,-122.26671390849752,47.73697090582182,1517.0
b2b-50914,27000,3267,43200,-122.29363923999615,47.199848854412245,3267.0
b2b-50472,32400,2884,43200,-122.465242097286,47.193693409102224,2884.0
b2b-5188,37800,1442,43200,-122.3546150749815,47.75359700288664,1442.0
b2b-47487,29040,2263,43200,-122.10261720501327,47.65829644815671,2263.0
b2b-24003,31800,1312,43200,-122.28652865764094,47.5672489399751,1312.0
b2b-31268,46200,1911,43200,-122.25745293988004,47.38860190418422,1911.0
b2b-40896,31200,3248,43200,-122.22687900228613,46.7689413928168,5735.0
b2b-34168,47400,3248,43200,-122.22687900228613,46.7689413928168,6134.0
b2b-35001,34800,3519,43200,-122.26352680069002,47.88739431301612,3519.0
b2b-41050,34200,2165,43200,-122.1312958691639,47.46787078951236,2165.0
b2b-33413,33960,2213,43200,-122.03476561198023,47.53151514951141,2213.0
b2b-38148,24000,3248,43200,-122.22687900228613,46.7689413928168,501.0
b2b-50107,25260,3281,43200,-122.34916233091046,47.24710831226075,3281.0
b2b-50425,45000,3854,43200,-122.37796669465752,48.27166772354568,4484.0
b2b-39821,37800,3895,43200,-121.41045972046028,48.1863463367089,20069.0
b2b-15940,25800,1181,43200,-122.36744927073804,47.632202954047685,1181.0
b2b-30519,18000,2912,43200,-121.57154802106145,47.06787442561271,20095.0
b2b-62737,25800,2912,43200,-121.57154802106145,47.06787442561271,20009.0
b2b-24830,34200,1162,43200,-122.27422841847246,47.64461943913826,1162.0
b2b-36359,33000,3895,43200,-121.41045972046028,48.1863463367089,20087.0
b2b-33112,19800,2912,43200,-121.57154802106145,47.06787442561271,20070.0
b2b-4613,26400,2912,43200,-121.57154802106145,47.06787442561271,20009.0
b2b-34918,17400,3854,43200,-122.37796669465752,48.27166772354568,3337.0
b2b-20538,43800,1864,43200,-122.3213892064308,47.42844340639957,1864.0
b2b-33816,34200,3249,43200,-122.20981561308568,46.79960290846447,20012.0
b2b-3029,42000,3718,43200,-122.12378684231128,47.82920308897614,3718.0
b2b-18831,26400,1911,43200,-122.25416110178146,47.387224327147166,1911.0
b2b-51091,19980,3248,43200,-122.22687900228613,46.7689413928168,6003.0
b2b-22360,28440,1497,43200,-122.17689740195384,47.74651831465093,1497.0
b2b-1858,33000,3761,43200,-122.03073532805638,47.92453282326704,3761.0
b2b-50401,45600,3248,43200,-122.22687900228613,46.7689413928168,5366.0
b2b-48453,19800,2945,43200,-122.18884980059543,47.156110833199946,2945.0
b2b-20980,27600,1721,43200,-122.21141732339328,47.47250466088636,1721.0
b2b-49377,24360,2834,43200,-122.4495774760749,47.25866609598427,2834.0
b2b-10796,29400,3248,43200,-122.22687900228613,46.7689413928168,5648.0
b2b-57674,42000,1125,43200,-122.345409618373,47.64540069212759,1125.0
b2b-28277,37200,3205,43200,-122.3834825564397,46.88687391044784,637.0
b2b-62971,24000,2302,43200,-122.12037838080636,47.68349758348996,2302.0
b2b-20072,31200,1367,43200,-122.3439040039358,47.52246829173292,1367.0
b2b-30817,30600,2912,43200,-121.57154802106145,47.06787442561271,20118.0
b2b-54335,34800,3248,43200,-122.22687900228613,46.7689413928168,5832.0
b2b-11728,27420,1126,43200,-122.34080162591204,47.64837354375581,1126.0
b2b-53743,40800,3248,43200,-122.22687900228613,46.7689413928168,500.0
b2b-14645,25800,975,43200,-122.332605915782,47.70747086634352,975.0
b2b-5610,31800,3248,43200,-122.22687900228613,46.7689413928168,545.0
b2b-36914,40800,2128,43200,-121.47570027834682,47.10458526658929,20117.0
b2b-42279,25620,1194,43200,-122.34652113704824,47.61664507791309,1194.0
