payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType,operationDurationInSecOG
61-db2b1,0,b2b-1,mfr_goods,loading,530610533012,24600,0,0,0,-122.32619153683201,48.26132436721623,530610533012.0,,,441.34537601,delivery-only,,0
18941865,1,b2b-1,mfr_goods,unloading,530330228033,32220,24600,93600,480,-122.1320970907136,47.63738697668058,530330228033.0,517110,315000,110.22294591,delivery-only,private,480
18839335,2,b2b-1,mfr_goods,unloading,530330292061,34020,24600,93600,660,-122.23349614393426,47.43202509344311,530330292061.0,425000,315000,220.44589182,delivery-only,private,660
24443,3,b2b-1,mfr_goods,unloading,530330073003,35820,24600,93600,840,-122.33543668934716,47.62197506023836,530330073003.0,624100,315000,110.67653828,delivery-only,private,840
61-db2b1-,4,b2b-1,mfr_goods,loading,530610533012,43380,0,0,0,-122.32619153683201,48.26132436721623,530610533012.0,,,0.0,delivery-only,,0
61-db2b28,0,b2b-28,mfr_goods,loading,530610420051,31800,0,0,0,-122.28726411332393,47.88716115539912,530610420051.0,,,552.02191429,delivery-only,,0
319806,1,b2b-28,mfr_goods,unloading,530330072003,34860,31800,93600,1140,-122.34571175966006,47.618105030530536,530330072003.0,425000,315000,110.67653828,delivery-only,private,1140
285447,2,b2b-28,mfr_goods,unloading,530330262001,36960,31800,93600,660,-122.23104903443088,47.47154833114001,530330262001.0,517210,315000,110.22294591,delivery-only,private,660
360856,3,b2b-28,mfr_goods,unloading,530330255003,38220,31800,93600,1080,-122.1752105558977,47.499912133629195,530330255003.0,811300,315000,110.67653828,delivery-only,private,1080
226030,4,b2b-28,mfr_goods,unloading,530330237001,40680,31800,93600,600,-122.15749835611426,47.62423884494726,530330237001.0,711100,315000,220.44589182,delivery-only,private,600
61-db2b28-,5,b2b-28,mfr_goods,loading,530610420051,45180,0,0,0,-122.28726411332393,47.88716115539912,530610420051.0,,,0.0,delivery-only,,0
61-db2b34,0,b2b-34,mfr_goods,loading,530610420051,31800,0,0,0,-122.28726411332393,47.88716115539912,530610420051.0,,,332.02961484,delivery-only,,0
228326,1,b2b-34,mfr_goods,unloading,530530726032,39900,31800,115200,960,-122.773472463407,47.18858769174955,530670101002.0,532400,315000,332.02961484,delivery-only,private,960
61-db2b34-,2,b2b-34,mfr_goods,loading,530610420051,51420,0,0,0,-122.28726411332393,47.88716115539912,530610420051.0,,,0.0,delivery-only,,0
61-db2b46,0,b2b-46,mfr_goods,loading,530530729061,41400,0,0,0,-122.55460172768578,47.04937265267667,530419710003.0,,,108.8621688,delivery-only,,0
649023,1,b2b-46,mfr_goods,unloading,530610519183,50100,41400,93600,720,-122.217256740482,47.79125810772646,530610519183.0,813100,315000,108.8621688,delivery-only,private,720
61-db2b46-,2,b2b-46,mfr_goods,loading,530530729061,58920,0,0,0,-122.55460172768578,47.04937265267667,530419710003.0,,,0.0,delivery-only,,0
61-db2b67,0,b2b-67,mfr_goods,loading,530610510001,46200,0,0,0,-122.33026005575384,47.796692614062835,530610510001.0,,,553.3826914,delivery-only,,0
5827413,1,b2b-67,mfr_goods,unloading,530530729061,54900,46200,115200,660,-122.55460172768578,47.04937265267667,530670108005.0,623B00,314120,332.02961484,delivery-only,private,660
1805992,2,b2b-67,mfr_goods,unloading,530530726023,61020,46200,115200,480,-122.81357884542321,47.264730685211404,530459607002.0,624100,314120,110.67653828,delivery-only,private,480
5824691,3,b2b-67,mfr_goods,unloading,530530726032,61860,46200,115200,900,-122.773472463407,47.18858769174955,530670122121.0,624100,314120,110.67653828,delivery-only,private,900
61-db2b67-,4,b2b-67,mfr_goods,loading,530610510001,69780,0,0,0,-122.33026005575384,47.796692614062835,530610510001.0,,,0.0,delivery-only,,0
61-db2b70,0,b2b-70,mfr_goods,loading,530610537001,52800,0,0,0,-121.31296454602099,48.047210789371114,530630122001.0,,,20109.564131580002,delivery-only,,0
2041940,1,b2b-70,mfr_goods,unloading,530610528032,59760,52800,93600,4740,-122.16759777695343,48.11854479886433,530610528032.0,327390,327390,20109.564131580002,delivery-only,private,4740
