taz,chargingPointType,numStalls,pricingModel,feeInCents,parkingType,reservedFor
1,NoCharger,1000000,FlatFee,0.0,Commercial,
2,NoCharger,1000000,FlatFee,0.0,Commercial,
3,NoCharger,1000000,FlatFee,0.0,Commercial,
4,NoCharger,1000000,FlatFee,0.0,Commercial,
5,NoCharger,1000000,FlatFee,0.0,Commercial,
6,NoCharger,1000000,FlatFee,0.0,Commercial,
7,NoCharger,1000000,FlatFee,0.0,Commercial,
8,NoCharger,1000000,FlatFee,0.0,Commercial,
9,NoCharger,1000000,FlatFee,0.0,Commercial,
10,NoCharger,1000000,FlatFee,0.0,Commercial,
11,NoCharger,1000000,FlatFee,0.0,Commercial,
12,NoCharger,1000000,FlatFee,0.0,Commercial,
13,NoCharger,1000000,FlatFee,0.0,Commercial,
14,NoCharger,1000000,FlatFee,0.0,Commercial,
15,NoCharger,1000000,FlatFee,0.0,Commercial,
16,NoCharger,1000000,FlatFee,0.0,Commercial,
17,NoCharger,1000000,FlatFee,0.0,Commercial,
18,NoCharger,1000000,FlatFee,0.0,Commercial,
19,NoCharger,1000000,FlatFee,0.0,Commercial,
20,NoCharger,1000000,FlatFee,0.0,Commercial,
21,NoCharger,1000000,FlatFee,0.0,Commercial,
22,NoCharger,1000000,FlatFee,0.0,Commercial,
23,NoCharger,1000000,FlatFee,0.0,Commercial,
24,NoCharger,1000000,FlatFee,0.0,Commercial,
25,NoCharger,1000000,FlatFee,0.0,Commercial,
26,NoCharger,1000000,FlatFee,0.0,Commercial,
27,NoCharger,1000000,FlatFee,0.0,Commercial,
28,NoCharger,1000000,FlatFee,0.0,Commercial,
29,NoCharger,1000000,FlatFee,0.0,Commercial,
30,NoCharger,1000000,FlatFee,0.0,Commercial,
31,NoCharger,1000000,FlatFee,0.0,Commercial,
32,NoCharger,1000000,FlatFee,0.0,Commercial,
33,NoCharger,1000000,FlatFee,0.0,Commercial,
34,NoCharger,1000000,FlatFee,0.0,Commercial,
35,NoCharger,1000000,FlatFee,0.0,Commercial,
36,NoCharger,1000000,FlatFee,0.0,Commercial,
37,NoCharger,1000000,FlatFee,0.0,Commercial,
38,NoCharger,1000000,FlatFee,0.0,Commercial,
