tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-56120,36600,530330292061,43200,-122.24540120401436,47.400872046938474,530330292061.0
b2b-3045,2400,530610519121,43200,-122.11159127487714,47.80220650225331,530610519121.0
b2b-21941,33000,530530732003,43200,-122.23649758405864,46.784130666282756,530110424001.0
b2b-44719,32400,530330238011,43200,-122.19512341649516,47.60985419833947,530330238011.0
b2b-12915,40800,530330049002,43200,-122.35272177681968,47.65236915509596,530330049002.0
b2b-48661,36000,530530729061,43200,-122.55460172768578,47.04937265267667,530670127203.0
b2b-57943,24600,530530713051,43200,-122.39225476130242,47.16214101701972,530530713051.0
b2b-6184,34200,530610531021,43200,-122.18921914405846,48.15037009988364,530610531021.0
b2b-972,35400,530530732003,43200,-122.23649758405864,46.784130666282756,530110406082.0
b2b-19131,13800,530330308011,43200,-122.23046190717719,47.27428231756134,530330308011.0
b2b-49211,43800,530530616021,43200,-122.43295660160148,47.23570247122457,530530616021.0
b2b-12630,22800,530530729061,43200,-122.55460172768578,47.04937265267667,530670108005.0
b2b-47590,45000,530530626001,43200,-122.48078635245668,47.2209140565766,530530626001.0
b2b-10840,25200,530330292061,43200,-122.2241763247837,47.41949520674919,530330292061.0
b2b-46541,25200,530330304011,43200,-122.28081263142555,47.314120015144,530330304011.0
b2b-23654,34800,530530718071,43200,-122.49214302854267,47.17297723263529,530530718071.0
b2b-11004,27600,530530732003,43200,-122.23649758405864,46.784130666282756,410510073001.0
b2b-317,27000,530610408002,43200,-122.20740921411743,47.97867025191261,530610408002.0
b2b-17243,29400,530530732003,43200,-122.23649758405864,46.784130666282756,410050229011.0
b2b-19795,9000,530330327032,43200,-121.82310613687582,47.525647459407686,530330327032.0
b2b-12440,21000,530330262001,43200,-122.24808394873904,47.448097863661104,530330262001.0
b2b-24915,29400,530330292061,43200,-122.23140805132682,47.421627039336656,530330292061.0
b2b-22246,30000,530330093003,43200,-122.323051615775,47.56381134231441,530330093003.0
b2b-13740,32400,530330046002,43200,-122.33217641462576,47.66991090729224,530330046002.0
b2b-42263,34200,530610538034,43200,-121.67991202346035,47.846040872758074,530610538034.0
b2b-34414,23400,530610537001,43200,-121.31296454602099,48.047210789371114,20034.0
b2b-54617,36000,530330320111,43200,-122.0228827412936,47.36910189719495,530330320111.0
b2b-23922,30600,530330305011,43200,-122.22993403913618,47.344706669088296,530330305011.0
b2b-43215,31800,530530732004,43200,-122.26414670758322,46.919109706620354,20014.0
b2b-23485,32400,530530726032,43200,-122.773472463407,47.18858769174955,530670109104.0
b2b-884,31800,530610524014,43200,-122.10228964826,47.92912512045848,530610524014.0
b2b-10929,27600,530530732003,43200,-122.23649758405864,46.784130666282756,410430304022.0
b2b-32520,28200,530330099004,43200,-122.3507701878964,47.57124123344717,530330099004.0
b2b-55479,22800,530530732004,43200,-122.26414670758322,46.919109706620354,20012.0
b2b-25452,31800,530330093002,43200,-122.33321593564584,47.588195187426166,530330093002.0
b2b-7073,29400,530610533024,43200,-122.33664682921902,48.27586081129215,530579526003.0
b2b-57136,21600,530350811002,43200,-122.65365560350207,47.5622531720294,530350811002.0
b2b-51234,18000,530330305011,43200,-122.22993403913618,47.344706669088296,530330305011.0
b2b-60665,47400,530530701001,43200,-121.54386999168173,47.120779204437994,20118.0
b2b-21283,31800,530530730061,43200,-122.34198917869847,46.9294490718859,530150003001.0
b2b-11904,35400,530530729061,43200,-122.55460172768578,47.04937265267667,530670126101.0
b2b-38699,24000,530610537001,43200,-121.31296454602099,48.047210789371114,20034.0
b2b-57453,29400,530330315022,43200,-121.96378510578558,47.20034644449784,530330315022.0
b2b-16221,46200,530330263001,43200,-122.30020315719679,47.51576984514374,530330263001.0
b2b-52369,22800,530330305011,43200,-122.22993403913618,47.344706669088296,530330305011.0
b2b-56569,20400,530610533014,43200,-122.37059661370526,48.24852257941998,530730002002.0
b2b-41887,32400,530530732004,43200,-122.26414670758322,46.919109706620354,20013.0
b2b-22195,29400,530530732003,43200,-122.23649758405864,46.784130666282756,410510073001.0
b2b-50683,30600,530530728001,43200,-122.64902747249982,47.09913693288178,530670122222.0
b2b-19666,28800,530330047002,43200,-122.37064025305855,47.667365410096735,530330047002.0
b2b-12780,49800,530330066001,43200,-122.32724058826471,47.63019426814261,530330066001.0
b2b-35672,28800,530530718071,43200,-122.49179319827093,47.17404860855491,530530718071.0
b2b-41796,14400,530330328003,43200,-121.10671567006172,47.70909108797843,530019504002.0
b2b-17920,34200,530330033004,43200,-122.38647685400456,47.67698035946897,530330033004.0
b2b-40661,27000,530330292061,43200,-122.2442241533272,47.406123296512554,530330292061.0
b2b-6451,40800,530330099004,43200,-122.3507701878964,47.57124123344717,530330099004.0
b2b-28071,23400,530530718071,43200,-122.49219570780852,47.172884287650696,530530718071.0
b2b-46382,30000,530530732003,43200,-122.23649758405864,46.784130666282756,530110410052.0
b2b-24482,27600,530539400101,43200,-122.30575322290149,47.212118301893334,530539400101.0
b2b-38897,22800,530330292061,43200,-122.24926121775445,47.429540883352075,530330292061.0
b2b-41713,33600,530530728001,43200,-122.64902747249982,47.09913693288178,530670122213.0
b2b-49050,33000,530530726032,43200,-122.773472463407,47.18858769174955,530670109101.0
b2b-20220,24000,530530726032,43200,-122.773472463407,47.18858769174955,530670110001.0
b2b-45608,40200,530330032003,43200,-122.39335336593169,47.66860369593321,530330032003.0
b2b-29543,34800,530330237001,43200,-122.16733249591246,47.62575911125378,530330237001.0
b2b-7370,34200,530530701001,43200,-121.54386999168173,47.120779204437994,20095.0
b2b-29015,28800,530530732003,43200,-122.23649758405864,46.784130666282756,530110403023.0
b2b-33114,35400,530530732004,43200,-122.26414670758322,46.919109706620354,20012.0
b2b-61116,31800,530610534001,43200,-122.17500154379321,48.271925722795274,530730102002.0
b2b-46892,38400,530610514005,43200,-122.3005718745514,47.818114771932436,530610514005.0
b2b-60391,26400,530610537001,43200,-121.31296454602099,48.047210789371114,20061.0
b2b-30887,41400,530330293052,43200,-122.19724469213678,47.41724973671112,530330293052.0
b2b-30313,46800,530539400022,43200,-122.35897274041128,47.25278630859665,530539400022.0
b2b-50434,28800,530330262001,43200,-122.24822676035053,47.44766390600369,530330262001.0
b2b-11349,43800,530610419032,43200,-122.27037305679046,47.92013150124543,530610419032.0
b2b-6930,45000,530610533014,43200,-122.37059661370526,48.24852257941998,530579521003.0
b2b-51935,39600,530539400101,43200,-122.30575322290149,47.212118301893334,530539400101.0
