payloadId,sequenceRank,tourId,payloadType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,activityType,fleetType,operationDurationInSecOG
b2b-1-0,0,b2b-1,mfr_goods,530610533012,24600,0,0,0,-122.32573492902246,48.26142819493817,530610533012.0,,,441.34537601,delivery-only,loading,,0
b2b-1-1,1,b2b-1,mfr_goods,530330228033,32220,24600,93600,480,-122.131675019911,47.637256374603325,530330228033.0,517110,315000,110.22294591,delivery-only,unloading,private,480
b2b-1-2,2,b2b-1,mfr_goods,530330292061,34020,24600,93600,660,-122.2327959542157,47.43246192814049,530330292061.0,425000,315000,220.44589182,delivery-only,unloading,private,660
b2b-1-3,3,b2b-1,mfr_goods,530330073003,35820,24600,93600,840,-122.33543668934716,47.62197506023836,530330073003.0,624100,315000,110.67653828,delivery-only,unloading,private,840
b2b-1-4,4,b2b-1,mfr_goods,530610533012,43380,0,0,0,-122.32573492902246,48.26142819493817,530610533012.0,,,0.0,delivery-only,loading,,0
b2b-28-0,0,b2b-28,mfr_goods,530610420051,31800,0,0,0,-122.28663734640858,47.88738889900218,530610420051.0,,,552.02191429,delivery-only,loading,,0
b2b-28-1,1,b2b-28,mfr_goods,530330072003,34860,31800,93600,1140,-122.34571175966006,47.618105030530536,530330072003.0,425000,315000,110.67653828,delivery-only,unloading,private,1140
b2b-28-2,2,b2b-28,mfr_goods,530330262001,36960,31800,93600,660,-122.23127979976073,47.47115461786207,530330262001.0,517210,315000,110.22294591,delivery-only,unloading,private,660
b2b-28-3,3,b2b-28,mfr_goods,530330255003,38220,31800,93600,1080,-122.17510995782044,47.49937551986841,530330255003.0,811300,315000,110.67653828,delivery-only,unloading,private,1080
b2b-28-4,4,b2b-28,mfr_goods,530330237001,40680,31800,93600,600,-122.1578906045416,47.6240181528883,530330237001.0,711100,315000,220.44589182,delivery-only,unloading,private,600
b2b-28-5,5,b2b-28,mfr_goods,530610420051,45180,0,0,0,-122.28663734640858,47.88738889900218,530610420051.0,,,0.0,delivery-only,loading,,0
b2b-34-0,0,b2b-34,mfr_goods,530610420051,31800,0,0,0,-122.28663734640858,47.88738889900218,530610420051.0,,,332.02961484,delivery-only,loading,,0
b2b-34-1,1,b2b-34,mfr_goods,530530726032,39900,31800,115200,960,-122.77438432253852,47.18832179399421,530670101002.0,532400,315000,332.02961484,delivery-only,unloading,private,960
b2b-34-2,2,b2b-34,mfr_goods,530610420051,51420,0,0,0,-122.28663734640858,47.88738889900218,530610420051.0,,,0.0,delivery-only,loading,,0
b2b-46-0,0,b2b-46,mfr_goods,530530729061,41400,0,0,0,-122.55444246185414,47.0496292343141,530419710003.0,,,108.8621688,delivery-only,loading,,0
b2b-46-1,1,b2b-46,mfr_goods,530610519183,50100,41400,93600,720,-122.217256740482,47.79125810772646,530610519183.0,813100,315000,108.8621688,delivery-only,unloading,private,720
b2b-46-2,2,b2b-46,mfr_goods,530530729061,58920,0,0,0,-122.55444246185414,47.0496292343141,530419710003.0,,,0.0,delivery-only,loading,,0
b2b-67-0,0,b2b-67,mfr_goods,530610510001,46200,0,0,0,-122.32977159646047,47.796917502443996,530610510001.0,,,553.3826914,delivery-only,loading,,0
b2b-67-1,1,b2b-67,mfr_goods,530530729061,54900,46200,115200,660,-122.55444246185414,47.0496292343141,530670108005.0,623B00,314120,332.02961484,delivery-only,unloading,private,660
