payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
61-db2b5,0,b2b-5,mfr_goods,loading,530610413042,29400,0,0,0,-122.24894690531882,47.92558870715524,530610413042.0,,,527.07433394,delivery-only,
14488290,1,b2b-5,mfr_goods,unloading,530330071002,31740,29400,93600,480,-122.34784924671114,47.62448728773929,530330071002.0,541610,339990,131.5417873,delivery-only,private
12876961,2,b2b-5,mfr_goods,unloading,530330072001,32340,29400,93600,900,-122.343209989784,47.62250465056713,530330072001.0,812300,339990,131.99537967,delivery-only,private
8922003,3,b2b-5,mfr_goods,unloading,530330072001,33300,29400,93600,960,-122.34789652569388,47.61997671474157,530330072001.0,812300,339990,131.99537967,delivery-only,private
1039838,4,b2b-5,mfr_goods,unloading,530330046002,34740,29400,93600,1200,-122.33280799493622,47.66980277957859,530330046002.0,813A00,339990,131.5417873,delivery-only,private
61-db2b5-,5,b2b-5,mfr_goods,loading,530610413042,38760,0,0,0,-122.24894690531882,47.92558870715524,530610413042.0,,,0.0,delivery-only,
61-db2b10,0,b2b-10,mfr_goods,loading,530610413042,19200,0,0,0,-122.25205393616824,47.92737152693121,530610413042.0,,,1185.23686281,delivery-only,
287462,1,b2b-10,mfr_goods,unloading,530350905012,23100,19200,93600,660,-122.63903733993573,47.743501086445306,530350905012.0,624400,339990,131.5417873,delivery-only,private
24369432,2,b2b-10,mfr_goods,unloading,530350912011,24540,19200,93600,420,-122.68549795792136,47.654158788044256,530350912011.0,812100,339990,131.5417873,delivery-only,private
16971976,3,b2b-10,mfr_goods,unloading,530530725071,28320,19200,93600,420,-122.58286421537495,47.33201993444174,530530725071.0,812900,339990,131.5417873,delivery-only,private
24209757,4,b2b-10,mfr_goods,unloading,530530726023,30240,19200,93600,420,-122.76534029021602,47.28604022434293,530530726023.0,722110,339990,131.99537967,delivery-only,private
23904944,5,b2b-10,mfr_goods,unloading,530530724083,32160,19200,93600,1200,-122.57793384183968,47.3037866681197,530530724083.0,813A00,339990,131.5417873,delivery-only,private
2833153,6,b2b-10,mfr_goods,unloading,530530730062,35340,19200,93600,1080,-122.45897219503834,46.91692387555145,530530730062.0,4A0000,339990,131.99537967,delivery-only,private
3749064,7,b2b-10,mfr_goods,unloading,530530715044,37620,19200,93600,840,-122.4443907027656,47.14385235875464,530530715044.0,611100,339990,131.5417873,delivery-only,private
26666179,8,b2b-10,mfr_goods,unloading,530530712073,39360,19200,93600,1080,-122.29224548073776,47.16293202527721,530530712073.0,4A0000,339990,131.5417873,delivery-only,private
12953619,9,b2b-10,mfr_goods,unloading,530330308011,41760,19200,93600,1200,-122.22737203081496,47.27496613579068,530330308011.0,4A0000,339990,131.99537967,delivery-only,private
61-db2b10-,10,b2b-10,mfr_goods,loading,530610413042,46380,0,0,0,-122.25205393616824,47.92737152693121,530610413042.0,,,0.0,delivery-only,
61-db2b11,0,b2b-11,mfr_goods,loading,530610413042,19200,0,0,0,-122.25205393616824,47.92737152693121,530610413042.0,,,131.99537967,delivery-only,
22173084,1,b2b-11,mfr_goods,unloading,530610412023,20700,19200,93600,900,-122.22365131458648,47.92809833923338,530610412023.0,541300,339990,131.99537967,delivery-only,private
61-db2b11-,2,b2b-11,mfr_goods,loading,530610413042,22080,0,0,0,-122.25205393616824,47.92737152693121,530610413042.0,,,0.0,delivery-only,
61-db2b21,0,b2b-21,mfr_goods,loading,530610519281,24000,0,0,0,-122.25425946256688,47.84705290992714,530610519281.0,,,715.31516749,delivery-only,
15139230,1,b2b-21,mfr_goods,unloading,530330236011,27600,24000,93600,660,-122.1725566391763,47.619569680220565,530330236011.0,531000,337110,715.31516749,delivery-only,private
61-db2b21-,2,b2b-21,mfr_goods,loading,530610519281,30660,0,0,0,-122.25425946256688,47.84705290992714,530610519281.0,,,0.0,delivery-only,
61-db2b52,0,b2b-52,mfr_goods,loading,530610519281,27000,0,0,0,-122.24969127645385,47.848404587498,530610519281.0,,,2111.47248235,delivery-only,
14045249,1,b2b-52,mfr_goods,unloading,530530726032,35220,27000,115200,780,-122.722177527917,47.06726163014591,530670109104.0,48A000,33331A,210.92045205000002,delivery-only,private
14045096,2,b2b-52,mfr_goods,unloading,530530726032,36240,27000,115200,480,-122.722177527917,47.06726163014591,530670109104.0,48A000,33331A,210.92045205000002,delivery-only,private
15109081,3,b2b-52,mfr_goods,unloading,530530728001,38040,27000,115200,720,-122.722177527917,47.06726163014591,530670112003.0,611100,33331A,211.37404442000002,delivery-only,private
9621186,4,b2b-52,mfr_goods,unloading,530530728001,38940,27000,115200,1080,-122.722177527917,47.06726163014591,530670112003.0,611100,33331A,211.37404442000002,delivery-only,private
9621060,5,b2b-52,mfr_goods,unloading,530530728001,40200,27000,115200,960,-122.722177527917,47.06726163014591,530670112003.0,611100,33331A,211.37404442000002,delivery-only,private
8986574,6,b2b-52,mfr_goods,unloading,530530729061,42720,27000,115200,300,-122.722177527917,47.06726163014591,530670125301.0,230301,33331A,210.92045205000002,delivery-only,private
8986403,7,b2b-52,mfr_goods,unloading,530530729061,43500,27000,115200,840,-122.58014198329504,46.93344098049039,530670125301.0,230301,33331A,210.92045205000002,delivery-only,private
8986213,8,b2b-52,mfr_goods,unloading,530530729061,44820,27000,115200,1140,-122.58014198329504,46.93344098049039,530670125301.0,230301,33331A,210.92045205000002,delivery-only,private
166192,9,b2b-52,mfr_goods,unloading,530530729061,46440,27000,115200,1200,-122.722177527917,47.06726163014591,530670123201.0,611100,33331A,211.37404442000002,delivery-only,private
15236979,10,b2b-52,mfr_goods,unloading,530530728001,47940,27000,115200,540,-122.722177527917,47.06726163014591,530670112003.0,611100,33331A,211.37404442000002,delivery-only,private
61-db2b52-,11,b2b-52,mfr_goods,loading,530610519281,56760,0,0,0,-122.24969127645385,47.848404587498,530610519281.0,,,0.0,delivery-only,
61-db2b53,0,b2b-53,mfr_goods,loading,530610519281,27000,0,0,0,-122.24969127645385,47.848404587498,530610519281.0,,,843.6818082000001,delivery-only,
12968183,1,b2b-53,mfr_goods,unloading,530330081001,29640,27000,93600,600,-122.33982406579484,47.60579863425588,530330081001.0,48A000,33331A,210.92045205000002,delivery-only,private
18191996,2,b2b-53,mfr_goods,unloading,530330093002,30360,27000,93600,540,-122.33545119697771,47.58112481632124,530330093002.0,517210,33331A,210.92045205000002,delivery-only,private
21931835,3,b2b-53,mfr_goods,unloading,530330081002,30960,27000,93600,1020,-122.3331147665877,47.60828068060249,530330081002.0,561500,33331A,210.92045205000002,delivery-only,private
14711247,4,b2b-53,mfr_goods,unloading,530330248002,32580,27000,93600,1200,-122.14127039854904,47.576196134229846,530330248002.0,561500,33331A,210.92045205000002,delivery-only,private
61-db2b53-,5,b2b-53,mfr_goods,loading,530610519281,36660,0,0,0,-122.24969127645385,47.848404587498,530610519281.0,,,0.0,delivery-only,
61-db2b63,0,b2b-63,mfr_goods,loading,530610413042,33000,0,0,0,-122.25235615974802,47.92458441691917,530610413042.0,,,790.61150091,delivery-only,
15276085,1,b2b-63,mfr_goods,unloading,530530712064,42600,33000,93600,420,-122.29986379414125,47.16219652339897,530530712064.0,813100,339990,131.99537967,delivery-only,private
9180961,2,b2b-63,mfr_goods,unloading,530530704033,43680,33000,93600,660,-122.21191233941768,47.09350353212272,530530704033.0,812100,339990,131.5417873,delivery-only,private
6036053,3,b2b-63,mfr_goods,unloading,530330320111,47400,33000,93600,840,-122.02156721092555,47.36451127763494,530330320111.0,812100,339990,131.99537967,delivery-only,private
6036034,4,b2b-63,mfr_goods,unloading,530330320111,48420,33000,93600,1080,-122.02156721092555,47.36451127763494,530330320111.0,812100,339990,131.99537967,delivery-only,private
13873280,5,b2b-63,mfr_goods,unloading,530330318003,50280,33000,93600,900,-122.09560020049226,47.42194050040416,530330318003.0,812100,339990,131.5417873,delivery-only,private
19393463,6,b2b-63,mfr_goods,unloading,530330322083,53160,33000,93600,960,-122.04120264171914,47.548957160406346,530330322083.0,812100,339990,131.5417873,delivery-only,private
61-db2b63-,7,b2b-63,mfr_goods,loading,530610413042,57420,0,0,0,-122.25235615974802,47.92458441691917,530610413042.0,,,0.0,delivery-only,
61-db2b80,0,b2b-80,mfr_goods,loading,530610522041,39600,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,36.74098197,delivery-only,
