taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3423118,47.61335744500008,517615,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3421083,47.61182870950006,517620,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3511954,47.61741919450006,517626,Any,Block,0,3
,Public,noCharger,non-res,,,-122.347583,47.61390122600005,517643,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3393932,47.60800740350004,517676,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3360399,47.606295535000044,517681,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3301865,47.60030075350005,517749,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3499434,47.61529813300004,517803,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3395646,47.60846576600005,517809,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3340579,47.59744457700006,517850,Any,Block,0,5
,Public,noCharger,non-res,,,-122.344439,47.61205768150003,517867,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3472792,47.614906762500055,517927,Any,Block,0,6
,Public,noCharger,non-res,,,-122.319486,47.61235857650007,517930,Any,Block,0,1
,Public,noCharger,non-res,,,-122.3467312,47.61457315350006,517934,Any,Block,0,14
,Public,noCharger,non-res,,,-122.3378452,47.607956075500056,517963,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3168971,47.61237184100005,518053,Any,Block,0,12
,Public,noCharger,non-res,,,-122.3340577,47.595905464000055,518055,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3341756,47.604262513000066,518071,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3301132,47.59985099000005,518133,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3394143,47.608301464500045,518210,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3509452,47.615890649500045,518316,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3521164,47.61773432050006,518358,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3470448,47.61379095750007,518365,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3399693,47.61174665050004,518419,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3401254,47.61183893550003,518515,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3461899,47.61425805700006,518572,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3340691,47.59848288250007,518653,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3441045,47.61301473450004,518654,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3394506,47.60834108350005,518662,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3456221,47.612950247500066,518666,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3343259,47.59672228550005,518695,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3340574,47.59568671050005,518749,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3342958,47.60069756750008,518786,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3192995,47.612597703500064,518931,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3510497,47.61712184800007,519021,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3340671,47.59903102250004,519130,Any,Block,0,4
,Public,noCharger,non-res,,,-122.344879,47.61348726600005,519133,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3415107,47.61169569100005,519184,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3405521,47.60927428200003,519243,Any,Block,0,16
,Public,noCharger,non-res,,,-122.3474623,47.614037389500055,519308,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3431673,47.61150949250006,519330,Any,Block,0,6
,Public,noCharger,non-res,,,-122.33485,47.603043553500044,519343,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3434801,47.612853097000055,519356,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3401105,47.609073024000054,519393,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3342853,47.60133436400005,519470,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3448101,47.61364678900006,519626,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3366976,47.60671733600006,519639,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3316805,47.601533327000055,519694,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3490981,47.61500590150007,519714,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3431507,47.613627640500056,519717,Any,Block,0,4
