taz,chargingPointType,numStalls,pricingModel,feeInCents,parkingType,timeRestrictions,reservedFor
1,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
2,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
3,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
4,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
5,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
6,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
7,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
8,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
9,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
10,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
11,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
12,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
13,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
14,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
15,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
16,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
17,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
18,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
19,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
20,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
21,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
22,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
23,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
24,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
25,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
26,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
27,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
28,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
29,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
30,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
31,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
32,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
33,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
34,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
35,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
36,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
37,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
38,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
39,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
40,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
41,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
42,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
43,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
44,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
45,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
46,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
47,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
48,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
49,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
50,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
51,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
52,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
53,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
54,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
55,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
56,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
57,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
58,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
59,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
60,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
61,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
62,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
63,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
64,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
65,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
66,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
67,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
68,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
69,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
70,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
71,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
72,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
73,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
74,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
75,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
76,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
77,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
78,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
79,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
80,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
81,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
82,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
83,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
84,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
85,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
86,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
87,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
88,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
89,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
90,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
91,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
92,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
93,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
94,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
95,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
96,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
97,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
98,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
99,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
100,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
101,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
102,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
103,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
104,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
105,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
106,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
107,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
108,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
109,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
110,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
111,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
112,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
113,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
114,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
115,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
116,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
117,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
118,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
119,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
120,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
121,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
122,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
123,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
124,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
125,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
126,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
127,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
128,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
129,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
