taz,parkingType,chargingPointType,numStalls,pricingModel,feeInCents,reservedFor
72,Workplace,NoCharger,1000000,flatFee,0,
72,Workplace,Level2,1000000,flatFee,0,
72,Public,NoCharger,1000000,flatFee,0,
72,Public,Level2,1000000,flatFee,0,
72,Residential,NoCharger,1000000,flatFee,0,
72,Residential,Level2,1000000,flatFee,0,
73,Workplace,NoCharger,1000000,flatFee,0,
73,Workplace,Level2,1000000,flatFee,0,
73,Public,NoCharger,1000000,flatFee,0,
73,Public,Level2,1000000,flatFee,0,
73,Residential,NoCharger,1000000,flatFee,0,
73,Residential,Level2,1000000,flatFee,0,
75,Workplace,NoCharger,1000000,flatFee,0,
75,Workplace,Level2,1000000,flatFee,0,
75,Public,NoCharger,1000000,flatFee,0,
75,Public,Level2,1000000,flatFee,0,
75,Residential,NoCharger,1000000,flatFee,0,
75,Residential,Level2,1000000,flatFee,0,
76,Workplace,NoCharger,1000000,flatFee,0,
76,Workplace,Level2,1000000,flatFee,0,
76,Public,NoCharger,1000000,flatFee,0,
76,Public,Level2,1000000,flatFee,0,
76,Residential,NoCharger,1000000,flatFee,0,
76,Residential,Level2,1000000,flatFee,0,
77,Workplace,NoCharger,1000000,flatFee,0,
77,Workplace,Level2,1000000,flatFee,0,
77,Public,NoCharger,1000000,flatFee,0,
77,Public,Level2,1000000,flatFee,0,
77,Residential,NoCharger,1000000,flatFee,0,
77,Residential,Level2,1000000,flatFee,0,
78,Workplace,NoCharger,1000000,flatFee,0,
78,Workplace,Level2,1000000,flatFee,0,
78,Public,NoCharger,1000000,flatFee,0,
78,Public,Level2,1000000,flatFee,0,
78,Residential,NoCharger,1000000,flatFee,0,
78,Residential,Level2,1000000,flatFee,0,
958,Workplace,NoCharger,1000000,flatFee,0,
958,Workplace,Level2,1000000,flatFee,0,
958,Public,NoCharger,1000000,flatFee,0,
958,Public,Level2,1000000,flatFee,0,
958,Residential,NoCharger,1000000,flatFee,0,
958,Residential,Level2,1000000,flatFee,0,
960,Workplace,NoCharger,1000000,flatFee,0,
960,Workplace,Level2,1000000,flatFee,0,
960,Public,NoCharger,1000000,flatFee,0,
960,Public,Level2,1000000,flatFee,0,
960,Residential,NoCharger,1000000,flatFee,0,
960,Residential,Level2,1000000,flatFee,0,
961,Workplace,NoCharger,1000000,flatFee,0,
961,Workplace,Level2,1000000,flatFee,0,
961,Public,NoCharger,1000000,flatFee,0,
961,Public,Level2,1000000,flatFee,0,
961,Residential,NoCharger,1000000,flatFee,0,
961,Residential,Level2,1000000,flatFee,0,
962,Workplace,NoCharger,1000000,flatFee,0,
962,Workplace,Level2,1000000,flatFee,0,
962,Public,NoCharger,1000000,flatFee,0,
962,Public,Level2,1000000,flatFee,0,
962,Residential,NoCharger,1000000,flatFee,0,
962,Residential,Level2,1000000,flatFee,0,
963,Workplace,NoCharger,1000000,flatFee,0,
963,Workplace,Level2,1000000,flatFee,0,
963,Public,NoCharger,1000000,flatFee,0,
963,Public,Level2,1000000,flatFee,0,
963,Residential,NoCharger,1000000,flatFee,0,
963,Residential,Level2,1000000,flatFee,0,
1042,Workplace,NoCharger,1000000,flatFee,0,
1042,Workplace,Level2,1000000,flatFee,0,
1042,Public,NoCharger,1000000,flatFee,0,
1042,Public,Level2,1000000,flatFee,0,
1042,Residential,NoCharger,1000000,flatFee,0,
1042,Residential,Level2,1000000,flatFee,0,
1044,Workplace,NoCharger,1000000,flatFee,0,
1044,Workplace,Level2,1000000,flatFee,0,
1044,Public,NoCharger,1000000,flatFee,0,
1044,Public,Level2,1000000,flatFee,0,
1044,Residential,NoCharger,1000000,flatFee,0,
1044,Residential,Level2,1000000,flatFee,0,
1045,Workplace,NoCharger,1000000,flatFee,0,
1045,Workplace,Level2,1000000,flatFee,0,
1045,Public,NoCharger,1000000,flatFee,0,
1045,Public,Level2,1000000,flatFee,0,
1045,Residential,NoCharger,1000000,flatFee,0,
1045,Residential,Level2,1000000,flatFee,0,
1046,Workplace,NoCharger,1000000,flatFee,0,
1046,Workplace,Level2,1000000,flatFee,0,
1046,Public,NoCharger,1000000,flatFee,0,
1046,Public,Level2,1000000,flatFee,0,
1046,Residential,NoCharger,1000000,flatFee,0,
1046,Residential,Level2,1000000,flatFee,0,
1047,Workplace,NoCharger,1000000,flatFee,0,
1047,Workplace,Level2,1000000,flatFee,0,
1047,Public,NoCharger,1000000,flatFee,0,
1047,Public,Level2,1000000,flatFee,0,
1047,Residential,NoCharger,1000000,flatFee,0,
1047,Residential,Level2,1000000,flatFee,0,
1048,Workplace,NoCharger,1000000,flatFee,0,
1048,Workplace,Level2,1000000,flatFee,0,
1048,Public,NoCharger,1000000,flatFee,0,
1048,Public,Level2,1000000,flatFee,0,
1048,Residential,NoCharger,1000000,flatFee,0,
1048,Residential,Level2,1000000,flatFee,0,
1049,Workplace,NoCharger,1000000,flatFee,0,
1049,Workplace,Level2,1000000,flatFee,0,
1049,Public,NoCharger,1000000,flatFee,0,
1049,Public,Level2,1000000,flatFee,0,
1049,Residential,NoCharger,1000000,flatFee,0,
1049,Residential,Level2,1000000,flatFee,0,
1121,Workplace,NoCharger,1000000,flatFee,0,
1121,Workplace,Level2,1000000,flatFee,0,
1121,Public,NoCharger,1000000,flatFee,0,
1121,Public,Level2,1000000,flatFee,0,
1121,Residential,NoCharger,1000000,flatFee,0,
1121,Residential,Level2,1000000,flatFee,0,
1122,Workplace,NoCharger,1000000,flatFee,0,
1122,Workplace,Level2,1000000,flatFee,0,
1122,Public,NoCharger,1000000,flatFee,0,
1122,Public,Level2,1000000,flatFee,0,
1122,Residential,NoCharger,1000000,flatFee,0,
1122,Residential,Level2,1000000,flatFee,0,
1123,Workplace,NoCharger,1000000,flatFee,0,
1123,Workplace,Level2,1000000,flatFee,0,
1123,Public,NoCharger,1000000,flatFee,0,
1123,Public,Level2,1000000,flatFee,0,
1123,Residential,NoCharger,1000000,flatFee,0,
1123,Residential,Level2,1000000,flatFee,0,
1124,Workplace,NoCharger,1000000,flatFee,0,
1124,Workplace,Level2,1000000,flatFee,0,
1124,Public,NoCharger,1000000,flatFee,0,
1124,Public,Level2,1000000,flatFee,0,
1124,Residential,NoCharger,1000000,flatFee,0,
1124,Residential,Level2,1000000,flatFee,0,
1125,Workplace,NoCharger,1000000,flatFee,0,
1125,Workplace,Level2,1000000,flatFee,0,
1125,Public,NoCharger,1000000,flatFee,0,
1125,Public,Level2,1000000,flatFee,0,
1125,Residential,NoCharger,1000000,flatFee,0,
1125,Residential,Level2,1000000,flatFee,0,
1126,Workplace,NoCharger,1000000,flatFee,0,
1126,Workplace,Level2,1000000,flatFee,0,
1126,Public,NoCharger,1000000,flatFee,0,
1126,Public,Level2,1000000,flatFee,0,
1126,Residential,NoCharger,1000000,flatFee,0,
1126,Residential,Level2,1000000,flatFee,0,
1127,Workplace,NoCharger,1000000,flatFee,0,
1127,Workplace,Level2,1000000,flatFee,0,
1127,Public,NoCharger,1000000,flatFee,0,
1127,Public,Level2,1000000,flatFee,0,
1127,Residential,NoCharger,1000000,flatFee,0,
1127,Residential,Level2,1000000,flatFee,0,
1128,Workplace,NoCharger,1000000,flatFee,0,
1128,Workplace,Level2,1000000,flatFee,0,
1128,Public,NoCharger,1000000,flatFee,0,
1128,Public,Level2,1000000,flatFee,0,
1128,Residential,NoCharger,1000000,flatFee,0,
1128,Residential,Level2,1000000,flatFee,0,
1224,Workplace,NoCharger,1000000,flatFee,0,
1224,Workplace,Level2,1000000,flatFee,0,
1224,Public,NoCharger,1000000,flatFee,0,
1224,Public,Level2,1000000,flatFee,0,
1224,Residential,NoCharger,1000000,flatFee,0,
1224,Residential,Level2,1000000,flatFee,0,
1225,Workplace,NoCharger,1000000,flatFee,0,
1225,Workplace,Level2,1000000,flatFee,0,
1225,Public,NoCharger,1000000,flatFee,0,
1225,Public,Level2,1000000,flatFee,0,
1225,Residential,NoCharger,1000000,flatFee,0,
1225,Residential,Level2,1000000,flatFee,0,
1226,Workplace,NoCharger,1000000,flatFee,0,
1226,Workplace,Level2,1000000,flatFee,0,
1226,Public,NoCharger,1000000,flatFee,0,
1226,Public,Level2,1000000,flatFee,0,
1226,Residential,NoCharger,1000000,flatFee,0,
1226,Residential,Level2,1000000,flatFee,0,
1227,Workplace,NoCharger,1000000,flatFee,0,
1227,Workplace,Level2,1000000,flatFee,0,
1227,Public,NoCharger,1000000,flatFee,0,
1227,Public,Level2,1000000,flatFee,0,
1227,Residential,NoCharger,1000000,flatFee,0,
1227,Residential,Level2,1000000,flatFee,0,
1232,Workplace,NoCharger,1000000,flatFee,0,
1232,Workplace,Level2,1000000,flatFee,0,
1232,Public,NoCharger,1000000,flatFee,0,
1232,Public,Level2,1000000,flatFee,0,
1232,Residential,NoCharger,1000000,flatFee,0,
1232,Residential,Level2,1000000,flatFee,0,
1237,Workplace,NoCharger,1000000,flatFee,0,
1237,Workplace,Level2,1000000,flatFee,0,
1237,Public,NoCharger,1000000,flatFee,0,
1237,Public,Level2,1000000,flatFee,0,
1237,Residential,NoCharger,1000000,flatFee,0,
1237,Residential,Level2,1000000,flatFee,0,
1306,Workplace,NoCharger,1000000,flatFee,0,
1306,Workplace,Level2,1000000,flatFee,0,
