taz,parkingType,chargingPointType,numStalls,pricingModel,feeInCents,reservedFor
1,Workplace,None,2147483647,flatFee,0,
1,Workplace,Level2,2147483647,flatFee,0,
1,Public,None,2147483647,flatFee,0,
1,Public,Level2,2147483647,flatFee,0,
1,Residential,None,2147483647,flatFee,0,
1,Residential,Level2,2147483647,flatFee,0,
2,Workplace,None,2147483647,flatFee,0,
2,Workplace,Level2,2147483647,flatFee,0,
2,Public,None,2147483647,flatFee,0,
2,Public,Level2,2147483647,flatFee,0,
2,Residential,None,2147483647,flatFee,0,
2,Residential,Level2,2147483647,flatFee,0,
3,Workplace,None,2147483647,flatFee,0,
3,Workplace,Level2,2147483647,flatFee,0,
3,Public,None,2147483647,flatFee,0,
3,Public,Level2,2147483647,flatFee,0,
3,Residential,None,2147483647,flatFee,0,
3,Residential,Level2,2147483647,flatFee,0,
4,Workplace,None,2147483647,flatFee,0,
4,Workplace,Level2,2147483647,flatFee,0,
4,Public,None,2147483647,flatFee,0,
4,Public,Level2,2147483647,flatFee,0,
4,Residential,None,2147483647,flatFee,0,
4,Residential,Level2,2147483647,flatFee,0,
5,Workplace,None,2147483647,flatFee,0,
5,Workplace,Level2,2147483647,flatFee,0,
5,Public,None,2147483647,flatFee,0,
5,Public,Level2,2147483647,flatFee,0,
5,Residential,None,2147483647,flatFee,0,
5,Residential,Level2,2147483647,flatFee,0,
6,Workplace,None,2147483647,flatFee,0,
6,Workplace,Level2,2147483647,flatFee,0,
6,Public,None,2147483647,flatFee,0,
6,Public,Level2,2147483647,flatFee,0,
6,Residential,None,2147483647,flatFee,0,
6,Residential,Level2,2147483647,flatFee,0,
7,Workplace,None,2147483647,flatFee,0,
7,Workplace,Level2,2147483647,flatFee,0,
7,Public,None,2147483647,flatFee,0,
7,Public,Level2,2147483647,flatFee,0,
7,Residential,None,2147483647,flatFee,0,
7,Residential,Level2,2147483647,flatFee,0,
8,Workplace,None,2147483647,flatFee,0,
8,Workplace,Level2,2147483647,flatFee,0,
8,Public,None,2147483647,flatFee,0,
8,Public,Level2,2147483647,flatFee,0,
8,Residential,None,2147483647,flatFee,0,
8,Residential,Level2,2147483647,flatFee,0,
9,Workplace,None,2147483647,flatFee,0,
9,Workplace,Level2,2147483647,flatFee,0,
9,Public,None,2147483647,flatFee,0,
9,Public,Level2,2147483647,flatFee,0,
9,Residential,None,2147483647,flatFee,0,
9,Residential,Level2,2147483647,flatFee,0,
10,Workplace,None,2147483647,flatFee,0,
10,Workplace,Level2,2147483647,flatFee,0,
10,Public,None,2147483647,flatFee,0,
10,Public,Level2,2147483647,flatFee,0,
10,Residential,None,2147483647,flatFee,0,
10,Residential,Level2,2147483647,flatFee,0,
11,Workplace,None,2147483647,flatFee,0,
11,Workplace,Level2,2147483647,flatFee,0,
11,Public,None,2147483647,flatFee,0,
11,Public,Level2,2147483647,flatFee,0,
11,Residential,None,2147483647,flatFee,0,
11,Residential,Level2,2147483647,flatFee,0,
12,Workplace,None,2147483647,flatFee,0,
12,Workplace,Level2,2147483647,flatFee,0,
12,Public,None,2147483647,flatFee,0,
12,Public,Level2,2147483647,flatFee,0,
12,Residential,None,2147483647,flatFee,0,
12,Residential,Level2,2147483647,flatFee,0,
