"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",0.147405996602012
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",0.147405996602012
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",0.147405996602012
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",0.147405996602012
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",0.147405996602012
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",0.147405996602012
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",0.147405996602012
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",0.147405996602012
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",0.147405996602012
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",0.147405996602012
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",0.148453249332094
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",0.158327130598154
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",0.145174633890716
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",0.145174633890716
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",0.145174633890716
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",0.142605590240426
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",0.139071289571331
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",0.143867469656734
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",0.143867469656734
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",0.162742145344933
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",0.175388879364915
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",0.193033526164658
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",0.204781230891099
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",0.233440282598223
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",0.237220111823394
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",0.242728015141422
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",0.231060611635555
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",0.211691661778366
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",0.211691661778366
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",0.211691661778366
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",0.221862310174995
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",0.24825883494699
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",0.24825883494699
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",0.24825883494699
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",0.24825883494699
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",0.219729834813079
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",0.219729834813079
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",0.225343493031518
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",0.225343493031518
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",0.235301767725073
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",0.235301767725073
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",0.235301767725073
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",0.235301767725073
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",0.235301767725073
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",0.235301767725073
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",0.235301767725073
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",0.228532741135577
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",0.228532741135577
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",0.228293079067443
