"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",-0.98733042222778
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",-0.98733042222778
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",-0.98733042222778
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",-0.98733042222778
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",-0.98733042222778
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",-0.98733042222778
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",-0.98733042222778
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",-0.98733042222778
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",-0.98733042222778
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",-0.98733042222778
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",-0.98733042222778
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",-0.98733042222778
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",-0.49886857700704
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",0.714279952253587
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",0.714279952253587
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",0.714279952253587
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",0.714279952253587
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",0.714279952253587
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",0.714279952253587
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",0.714279952253587
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",0.714279952253587
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",1.11886127974038
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",1.11886127974038
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",1.11886127974038
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",0.687355438950031
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",0.687355438950031
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",0.687355438950031
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",0.687355438950031
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",0.687355438950031
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",0.687355438950031
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",0.687355438950031
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",0.687355438950031
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",0.687355438950031
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",0.687355438950031
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",0.687355438950031
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",-0.310619188997765
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",-2.1314903020508
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",-2.1314903020508
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",-2.1314903020508
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",-2.1314903020508
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",-2.1314903020508
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",-1.52976009375369
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",-1.52976009375369
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",-0.930353077354964
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",-1.21909082336643
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",-1.21909082336643
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",-1.21909082336643
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",-1.45359539152433
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",-1.45359539152433
"(0, 5]","(-20, -19]","(33560.091, 34013.605]",-1.45359539152433
"(0, 5]","(-20, -19]","(34013.605, 34467.12]",-1.45359539152433
"(0, 5]","(-20, -19]","(34467.12, 34920.635]",-1.45359539152433
"(0, 5]","(-20, -19]","(34920.635, 35374.15]",-1.45359539152433
"(0, 5]","(-20, -19]","(35374.15, 35827.664]",-1.45359539152433
"(0, 5]","(-20, -19]","(35827.664, 36281.179]",-1.45359539152433
"(5, 10]","(-20, -19]","(11337.868, 11791.383]",-3.80805767375858
"(5, 10]","(-20, -19]","(11791.383, 12244.898]",-3.80805767375858
"(5, 10]","(-20, -19]","(12244.898, 12698.413]",-3.80805767375858
"(5, 10]","(-20, -19]","(12698.413, 13151.927]",-3.80805767375858
"(5, 10]","(-20, -19]","(13151.927, 13605.442]",-3.80805767375858
"(5, 10]","(-20, -19]","(13605.442, 14058.957]",-3.80805767375858
"(5, 10]","(-20, -19]","(14058.957, 14512.472]",-3.80805767375858
"(5, 10]","(-20, -19]","(14512.472, 14965.986]",-3.80805767375858
"(5, 10]","(-20, -19]","(14965.986, 15419.501]",-3.63165824366604
"(5, 10]","(-20, -19]","(15419.501, 15873.016]",-3.63165824366604
"(5, 10]","(-20, -19]","(15873.016, 16326.531]",-3.63165824366604
"(5, 10]","(-20, -19]","(16326.531, 16780.045]",-3.63165824366604
"(5, 10]","(-20, -19]","(16780.045, 17233.56]",-3.65296184599311
"(5, 10]","(-20, -19]","(17233.56, 17687.075]",-2.43981331673248
"(5, 10]","(-20, -19]","(17687.075, 18140.59]",-2.43981331673248
"(5, 10]","(-20, -19]","(18140.59, 18594.104]",-2.43981331673248
"(5, 10]","(-20, -19]","(18594.104, 19047.619]",-2.43981331673248
"(5, 10]","(-20, -19]","(19047.619, 19501.134]",-2.43981331673248
"(5, 10]","(-20, -19]","(19501.134, 19954.649]",-2.43981331673248
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",-2.43981331673248
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",-2.43981331673248
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",-2.03523198924569
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",-2.03523198924569
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",-2.03523198924569
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",-2.46673783003604
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",-2.46673783003604
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",-3.31384848076001
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",-3.31384848076001
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",-3.31384848076001
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",-3.58682923080757
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",-3.58682923080757
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",-3.58682923080757
