"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",0.580181336304496
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",0.580181336304496
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",0.580181336304496
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",0.580181336304496
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",0.580181336304496
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",0.580181336304496
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",0.580181336304496
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",0.580181336304496
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",0.576859047730963
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",0.576859047730963
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",0.568021677799911
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",0.568021677799911
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",0.568021677799911
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",0.576641755392549
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",0.576916896557664
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",0.576916896557664
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",0.576916896557664
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",0.576916896557664
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",0.576916896557664
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",0.576916896557664
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",0.576916896557664
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",0.576916896557664
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",0.573800513688376
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",0.573800513688376
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",0.573800513688376
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",0.597802304747413
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",0.597802304747413
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",0.597802304747413
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",0.609271120226756
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",0.631233653844321
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",0.631233653844321
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",0.633681919467707
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",0.633681919467707
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",0.633681919467707
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",0.633681919467707
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",0.633681919467707
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",0.633681919467707
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",0.633681919467707
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",0.663296684969952
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",0.645744088454938
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",0.642568980019094
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",0.642568980019094
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",0.642568980019094
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",0.620655520503673
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",0.620655520503673
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",0.620655520503673
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",0.620655520503673
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",0.620655520503673
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",0.620655520503673
"(0, 5]","(-20, -19]","(33560.091, 34013.605]",0.620655520503673
"(0, 5]","(-20, -19]","(34013.605, 34467.12]",0.620655520503673
"(0, 5]","(-20, -19]","(34467.12, 34920.635]",0.620655520503673
"(0, 5]","(-20, -19]","(34920.635, 35374.15]",0.638036333626462
"(0, 5]","(-20, -19]","(35374.15, 35827.664]",0.638036333626462
"(0, 5]","(-20, -19]","(35827.664, 36281.179]",0.652299911929482
"(5, 10]","(-20, -19]","(11337.868, 11791.383]",0.225878836419932
