vehicleTypeId,seatingCapacity,standingRoomCapacity,lengthInMeter,primaryFuelType,primaryFuelConsumptionInJoulePerMeter,primaryFuelCapacityInJoule,primaryVehicleEnergyFile,secondaryFuelType,secondaryFuelConsumptionInJoulePerMeter,secondaryVehicleEnergyFile,secondaryFuelCapacityInJoule,automationLevel,maxVelocity,passengerCarUnit,rechargeLevel2RateLimitInWatts,rechargeLevel3RateLimitInWatts,vehicleCategory,sampleProbabilityWithinCategory,sampleProbabilityString,payloadCapacityInKg,vehicleUse
freight-md-D-Diesel-Baseline,1,0,12,Diesel,9595.796035,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_6_Box_truck_(Diesel,_2020,_no_program).csv",,,,,1,80,,,,Class456Vocational,,,8000,Freight
freight-md-E-BE-Baseline,1,0,12,Electricity,4587.112814,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_6_Box_truck_(BEV,_2025,_no_program).csv",,,,,1,80,,,,Class456Vocational,,,8000,Freight
freight-md-E-H2FC-Baseline,1,0,12,Hydrogen,753725.1296,1.2E+16,,,,,,1,80,,,,Class456Vocational,,,8000,Freight
freight-md-E-PHEV-Baseline,1,0,12,Diesel,753725.1296,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_6_Box_truck_(BEV,_2025,_no_program).csv",Diesel,9595.796035,"Freight_Baseline_FASTSimData_2020/Class_6_Box_truck_(HEV,_2025,_no_program).csv",1.20E+16,1,80,,,,Class456Vocational,,,8000,Freight
freight-hdt-D-Diesel-Baseline,1,0,12,Diesel,13817.08612,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Sleeper_cab_high_roof_(Diesel,_2020,_no_program).csv",,,,,1,65,,,,Class78Tractor,,,36000,Freight
freight-hdt-E-BE-Baseline,1,0,12,Electricity,13547.74925,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Sleeper_cab_high_roof_(BEV,_2025,_no_program).csv",,,,,1,65,,,,Class78Tractor,,,36000,Freight
freight-hdt-E-H2FC-Baseline,1,0,12,Hydrogen,753725.1296,1.2E+16,,,,,,1,65,,,,Class78Tractor,,,36000,Freight
freight-hdt-E-PHEV-Baseline,1,0,12,Diesel,753725.1296,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Sleeper_cab_high_roof_(BEV,_2025,_no_program).csv",Diesel,13817.08612,"Freight_Baseline_FASTSimData_2020/Class_8_Sleeper_cab_high_roof_(HEV,_2025,_no_program).csv",1.20E+16,1,65,,,,Class78Tractor,,,36000,Freight
freight-hdv-D-Diesel-Baseline,1,0,12,Diesel,14026.76147,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Box_truck_(Diesel,_2020,_no_program).csv",,,,,1,65,,,,Class78Vocational,,,36000,Freight
freight-hdv-E-BE-Baseline,1,0,12,Electricity,8593.377375,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Box_truck_(BEV,_2025,_no_program).csv",,,,,1,65,,,,Class78Vocational,,,36000,Freight
freight-hdv-E-H2FC-Baseline,1,0,12,Hydrogen,753725.1296,1.2E+16,,,,,,1,65,,,,Class78Vocational,,,36000,Freight
freight-hdv-E-PHEV-Baseline,1,0,12,Diesel,753725.1296,1.2E+16,"Freight_Baseline_FASTSimData_2020/Class_8_Box_truck_(BEV,_2025,_no_program).csv",Diesel,14026.76147,"Freight_Baseline_FASTSimData_2020/Class_8_Box_truck_(HEV,_2025,_no_program).csv",1.20E+16,1,65,,,,Class456Vocational,,,36000,Freight
