"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",1.62422582355746
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",1.62422582355746
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",1.62422582355746
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",1.62422582355746
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",1.62422582355746
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",1.62422582355746
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",1.62422582355746
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",1.62422582355746
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",1.62422582355746
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",1.62422582355746
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",1.62422582355746
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",1.62422582355746
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",2.77358884876782
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",3.20026682189047
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",3.20026682189047
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",3.66617582206295
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",3.66617582206295
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",3.66617582206295
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",3.66617582206295
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",3.66617582206295
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",3.66617582206295
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",3.66617582206295
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",3.66617582206295
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",3.66617582206295
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",3.66617582206295
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",3.66617582206295
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",1.857698087885
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",1.857698087885
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",1.857698087885
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",1.37913308468451
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",1.37913308468451
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",1.37913308468451
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",1.37913308468451
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",1.37913308468451
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",1.37913308468451
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",1.37913308468451
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",0.533394349756202
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",-0.328315594538018
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",-1.03366445316631
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",-1.03366445316631
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",-1.03366445316631
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",-1.03366445316631
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",-1.03366445316631
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",-1.03366445316631
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",-1.03366445316631
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",-1.03366445316631
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",-1.03366445316631
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",-1.03366445316631
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",-1.03366445316631
"(0, 5]","(-20, -19]","(33560.091, 34013.605]",-1.03366445316631
"(0, 5]","(-20, -19]","(34013.605, 34467.12]",-1.03366445316631
"(0, 5]","(-20, -19]","(34467.12, 34920.635]",-1.03366445316631
"(0, 5]","(-20, -19]","(34920.635, 35374.15]",-1.03366445316631
"(0, 5]","(-20, -19]","(35374.15, 35827.664]",-1.03366445316631
"(0, 5]","(-20, -19]","(35827.664, 36281.179]",-1.03366445316631
"(5, 10]","(-20, -19]","(11337.868, 11791.383]",-4.33297077889702
"(5, 10]","(-20, -19]","(11791.383, 12244.898]",-4.33297077889702
"(5, 10]","(-20, -19]","(12244.898, 12698.413]",-4.33297077889702
"(5, 10]","(-20, -19]","(12698.413, 13151.927]",-4.33297077889702
"(5, 10]","(-20, -19]","(13151.927, 13605.442]",-4.33297077889702
"(5, 10]","(-20, -19]","(13605.442, 14058.957]",-4.33297077889702
"(5, 10]","(-20, -19]","(14058.957, 14512.472]",-4.33297077889702
"(5, 10]","(-20, -19]","(14512.472, 14965.986]",-4.33297077889702
"(5, 10]","(-20, -19]","(14965.986, 15419.501]",-4.33297077889702
"(5, 10]","(-20, -19]","(15419.501, 15873.016]",-4.33297077889702
"(5, 10]","(-20, -19]","(15873.016, 16326.531]",-4.06981477693168
"(5, 10]","(-20, -19]","(16326.531, 16780.045]",-4.06981477693168
"(5, 10]","(-20, -19]","(16780.045, 17233.56]",-3.24906347168736
"(5, 10]","(-20, -19]","(17233.56, 17687.075]",-2.82238549856472
"(5, 10]","(-20, -19]","(17687.075, 18140.59]",-2.82238549856472
"(5, 10]","(-20, -19]","(18140.59, 18594.104]",-2.35647649839223
"(5, 10]","(-20, -19]","(18594.104, 19047.619]",-2.35647649839223
"(5, 10]","(-20, -19]","(19047.619, 19501.134]",-2.35647649839223
"(5, 10]","(-20, -19]","(19501.134, 19954.649]",-2.35647649839223
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",-2.35647649839223
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",-2.35647649839223
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",-2.35647649839223
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",-2.35647649839223
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",-2.20340531789924
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",-1.84050925104296
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",-1.84050925104296
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",-2.36537064513844
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",-2.36537064513844
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",-2.36537064513844
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",-2.36537064513844
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",-2.36537064513844
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",-2.36537064513844
"(5, 10]","(-20, -19]","(25850.34, 26303.855]",-2.36537064513844
"(5, 10]","(-20, -19]","(26303.855, 26757.37]",-2.5860476702458
"(5, 10]","(-20, -19]","(26757.37, 27210.884]",-2.5860476702458
"(5, 10]","(-20, -19]","(27210.884, 27664.399]",-2.5860476702458
"(5, 10]","(-20, -19]","(27664.399, 28117.914]",-3.35938514133381
"(5, 10]","(-20, -19]","(28117.914, 28571.429]",-4.22109508562803
"(5, 10]","(-20, -19]","(28571.429, 29024.943]",-4.22109508562803
"(5, 10]","(-20, -19]","(29024.943, 29478.458]",-4.22109508562803
"(5, 10]","(-20, -19]","(29478.458, 29931.973]",-4.22109508562803
"(5, 10]","(-20, -19]","(29931.973, 30385.488]",-4.22109508562803
"(5, 10]","(-20, -19]","(30385.488, 30839.002]",-4.22109508562803
"(5, 10]","(-20, -19]","(30839.002, 31292.517]",-4.22109508562803
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",-4.22109508562803
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",-4.22109508562803
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",-4.22109508562803
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",-4.22109508562803
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",-4.22109508562803
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",-4.22109508562803
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",-4.22109508562803
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",-4.22109508562803
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",-4.22109508562803
