"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",0.326534555863514
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",0.326534555863514
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",0.326534555863514
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",0.326534555863514
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",0.326534555863514
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",0.326534555863514
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",0.326534555863514
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",0.326534555863514
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",0.320436095447004
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",0.313192496057758
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",0.311024136840122
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",0.311024136840122
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",0.311024136840122
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",0.29966243593744
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",0.29966243593744
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",0.29966243593744
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",0.29966243593744
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",0.29966243593744
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",0.29966243593744
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",0.304735004694595
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",0.310435790167006
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",0.330840341449076
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",0.400483875302242
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",0.358425064541912
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",0.342251469595119
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",0.351409120858336
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",0.351409120858336
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",0.351409120858336
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",0.351409120858336
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",0.351409120858336
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",0.348508846403098
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",0.350494226850606
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",0.350494226850606
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",0.34992107516419
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",0.34992107516419
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",0.34992107516419
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",0.34992107516419
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",0.34992107516419
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",0.378702747599753
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",0.378702747599753
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",0.368607187146508
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",0.368607187146508
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",0.368607187146508
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",0.368607187146508
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",0.359202727966463
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",0.347052531026911
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",0.347052531026911
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",0.348538800344959
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",0.348538800344959
"(0, 5]","(-20, -19]","(33560.091, 34013.605]",0.368332393609959
"(0, 5]","(-20, -19]","(34013.605, 34467.12]",0.36291417124345
"(0, 5]","(-20, -19]","(34467.12, 34920.635]",0.36291417124345
"(0, 5]","(-20, -19]","(34920.635, 35374.15]",0.36291417124345
"(0, 5]","(-20, -19]","(35374.15, 35827.664]",0.36291417124345
"(0, 5]","(-20, -19]","(35827.664, 36281.179]",0.36291417124345
"(5, 10]","(-20, -19]","(11337.868, 11791.383]",0.179745219361114
"(5, 10]","(-20, -19]","(11791.383, 12244.898]",0.179745219361114
"(5, 10]","(-20, -19]","(12244.898, 12698.413]",0.179745219361114
"(5, 10]","(-20, -19]","(12698.413, 13151.927]",0.179745219361114
"(5, 10]","(-20, -19]","(13151.927, 13605.442]",0.179745219361114
