"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",0.173199039260041
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",0.173199039260041
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",0.173199039260041
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",0.173199039260041
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",0.173199039260041
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",0.173199039260041
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",0.173199039260041
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",0.173199039260041
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",0.173199039260041
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",0.174594231172725
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",0.174594231172725
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",0.160904730506114
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",0.177553206090082
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",0.185263995090657
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",0.185263995090657
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",0.185263995090657
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",0.185263995090657
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",0.185263995090657
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",0.179963177092978
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",0.179963177092978
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",0.187200184690484
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",0.187200184690484
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",0.187200184690484
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",0.182315847358289
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",0.182315847358289
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",0.186929690542625
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",0.193572860861849
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",0.207942195859651
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",0.221298084385051
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",0.221298084385051
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",0.319378203369613
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",0.342745125272814
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",0.342745125272814
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",0.342745125272814
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",0.254801506505666
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",0.205835862800864
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",0.205835862800864
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",0.205835862800864
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",0.205835862800864
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",0.205835862800864
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",0.205835862800864
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",0.184668728122092
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",0.184668728122092
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",0.184668728122092
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",0.184668728122092
"(0, 5]","(-20, -19]","(31746.032, 32199.546]",0.184668728122092
"(0, 5]","(-20, -19]","(32199.546, 32653.061]",0.184668728122092
"(0, 5]","(-20, -19]","(32653.061, 33106.576]",0.181425378138084
"(0, 5]","(-20, -19]","(33106.576, 33560.091]",0.181425378138084
"(0, 5]","(-20, -19]","(33560.091, 34013.605]",0.181425378138084
"(0, 5]","(-20, -19]","(34013.605, 34467.12]",0.181425378138084
"(0, 5]","(-20, -19]","(34467.12, 34920.635]",0.181425378138084
"(0, 5]","(-20, -19]","(34920.635, 35374.15]",0.181425378138084
"(0, 5]","(-20, -19]","(35374.15, 35827.664]",0.181425378138084
"(0, 5]","(-20, -19]","(35827.664, 36281.179]",0.181425378138084
"(5, 10]","(-20, -19]","(11337.868, 11791.383]",0.117199342320569
"(5, 10]","(-20, -19]","(11791.383, 12244.898]",0.117199342320569
"(5, 10]","(-20, -19]","(12244.898, 12698.413]",0.117199342320569
"(5, 10]","(-20, -19]","(12698.413, 13151.927]",0.117199342320569
"(5, 10]","(-20, -19]","(13151.927, 13605.442]",0.117199342320569
"(5, 10]","(-20, -19]","(13605.442, 14058.957]",0.117199342320569
"(5, 10]","(-20, -19]","(14058.957, 14512.472]",0.117199342320569
"(5, 10]","(-20, -19]","(14512.472, 14965.986]",0.117199342320569
"(5, 10]","(-20, -19]","(14965.986, 15419.501]",0.117199342320569
"(5, 10]","(-20, -19]","(15419.501, 15873.016]",0.116889433667491
"(5, 10]","(-20, -19]","(15873.016, 16326.531]",0.116889433667491
"(5, 10]","(-20, -19]","(16326.531, 16780.045]",0.116889433667491
"(5, 10]","(-20, -19]","(16780.045, 17233.56]",0.122327932518832
"(5, 10]","(-20, -19]","(17233.56, 17687.075]",0.122327932518832
"(5, 10]","(-20, -19]","(17687.075, 18140.59]",0.122327932518832
"(5, 10]","(-20, -19]","(18140.59, 18594.104]",0.122327932518832
"(5, 10]","(-20, -19]","(18594.104, 19047.619]",0.122327932518832
"(5, 10]","(-20, -19]","(19047.619, 19501.134]",0.122327932518832
"(5, 10]","(-20, -19]","(19501.134, 19954.649]",0.127321997684537
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",0.127321997684537
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",0.144022301662265
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",0.144022301662265
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",0.144022301662265
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",0.141484838429606
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",0.141484838429606
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",0.156454704639654
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",0.191010431282994
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",0.199320704316617
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",0.224079025077002
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",0.224079025077002
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",0.253696100473791
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",0.287755910659134
"(5, 10]","(-20, -19]","(25850.34, 26303.855]",0.287755910659134
"(5, 10]","(-20, -19]","(26303.855, 26757.37]",0.287755910659134
"(5, 10]","(-20, -19]","(26757.37, 27210.884]",0.226549827899099
"(5, 10]","(-20, -19]","(27210.884, 27664.399]",0.187061808866858
"(5, 10]","(-20, -19]","(27664.399, 28117.914]",0.172568978161601
"(5, 10]","(-20, -19]","(28117.914, 28571.429]",0.172568978161601
"(5, 10]","(-20, -19]","(28571.429, 29024.943]",0.172568978161601
"(5, 10]","(-20, -19]","(29024.943, 29478.458]",0.172568978161601
"(5, 10]","(-20, -19]","(29478.458, 29931.973]",0.172568978161601
"(5, 10]","(-20, -19]","(29931.973, 30385.488]",0.168217225205416
"(5, 10]","(-20, -19]","(30385.488, 30839.002]",0.168217225205416
"(5, 10]","(-20, -19]","(30839.002, 31292.517]",0.168217225205416
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",0.168217225205416
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",0.168217225205416
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",0.168217225205416
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",0.164973875221408
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",0.164973875221408
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",0.164973875221408
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",0.164973875221408
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",0.164973875221408
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",0.164973875221408
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",0.164973875221408
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",0.164973875221408
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",0.0405349933550717
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",0.0405349933550717
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",0.0405349933550717
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",0.0405349933550717
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",0.0405349933550717
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",0.0405349933550717
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",0.0405349933550717
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",0.0405349933550717
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",0.0405349933550717
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",0.0388298927893091
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",0.0388298927893091
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",0.0388298927893091
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",0.0388298927893091
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",0.0388298927893091
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",0.0388298927893091
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",0.042779273078089
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",0.042779273078089
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",0.042779273078089
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",0.0450758848659498
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",0.0450758848659498
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",0.0565976871270441
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",0.0565976871270441
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",0.0565976871270441
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",0.0484350835244051
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",0.0493847288597139
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",0.0493847288597139
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",0.0433063354281906
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",0.0433063354281906
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",0.0433063354281906
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",0.0433063354281906
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",0.036749519773369
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",0.036749519773369
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",0.036749519773369
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",0.036749519773369
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",0.036749519773369
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",0.036749519773369
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",0.0358750891224036
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",0.0358750891224036
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",0.0388709453445131
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",0.0388709453445131
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",0.0388709453445131
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",0.0388709453445131
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",0.0328563474120359
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",0.0328563474120359
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",0.0328563474120359
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",0.0328563474120359
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",0.0328563474120359
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",0.0328563474120359
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",0.0328563474120359
"(10, 15]","(-20, -19]","(33560.091, 34013.605]",0.041001640270257
"(10, 15]","(-20, -19]","(34013.605, 34467.12]",0.0809236003494381
"(10, 15]","(-20, -19]","(34467.12, 34920.635]",0.0422840405239084
"(10, 15]","(-20, -19]","(34920.635, 35374.15]",0.0422840405239084
"(10, 15]","(-20, -19]","(35374.15, 35827.664]",0.0422840405239084
"(10, 15]","(-20, -19]","(35827.664, 36281.179]",0.0422840405239084
"(15, 20]","(-20, -19]","(11337.868, 11791.383]",0.0445176020830742
"(15, 20]","(-20, -19]","(11791.383, 12244.898]",0.0445176020830742
"(15, 20]","(-20, -19]","(12244.898, 12698.413]",0.0445176020830742
"(15, 20]","(-20, -19]","(12698.413, 13151.927]",0.0445176020830742
"(15, 20]","(-20, -19]","(13151.927, 13605.442]",0.0445176020830742
"(15, 20]","(-20, -19]","(13605.442, 14058.957]",0.0445176020830742
"(15, 20]","(-20, -19]","(14058.957, 14512.472]",0.0445176020830742
"(15, 20]","(-20, -19]","(14512.472, 14965.986]",0.0445176020830742
"(15, 20]","(-20, -19]","(14965.986, 15419.501]",0.0445176020830742
"(15, 20]","(-20, -19]","(15419.501, 15873.016]",0.0414993833237756
"(15, 20]","(-20, -19]","(15873.016, 16326.531]",0.0414993833237756
"(15, 20]","(-20, -19]","(16326.531, 16780.045]",0.0414993833237756
"(15, 20]","(-20, -19]","(16780.045, 17233.56]",0.0414993833237756
"(15, 20]","(-20, -19]","(17233.56, 17687.075]",0.0414993833237756
"(15, 20]","(-20, -19]","(17687.075, 18140.59]",0.0414993833237756
"(15, 20]","(-20, -19]","(18140.59, 18594.104]",0.0454487636125554
"(15, 20]","(-20, -19]","(18594.104, 19047.619]",0.0454487636125554
"(15, 20]","(-20, -19]","(19047.619, 19501.134]",0.0454487636125554
"(15, 20]","(-20, -19]","(19501.134, 19954.649]",0.0454487636125554
"(15, 20]","(-20, -19]","(19954.649, 20408.163]",0.0454487636125554
"(15, 20]","(-20, -19]","(20408.163, 20861.678]",0.0506354780440201
"(15, 20]","(-20, -19]","(20861.678, 21315.193]",0.0506354780440201
"(15, 20]","(-20, -19]","(21315.193, 21768.707]",0.0506354780440201
"(15, 20]","(-20, -19]","(21768.707, 22222.222]",0.051590468984949
"(15, 20]","(-20, -19]","(22222.222, 22675.737]",0.0525401143202578
"(15, 20]","(-20, -19]","(22675.737, 23129.252]",0.0525401143202578
"(15, 20]","(-20, -19]","(23129.252, 23582.766]",0.0464617208887345
"(15, 20]","(-20, -19]","(23582.766, 24036.281]",0.0464617208887345
"(15, 20]","(-20, -19]","(24036.281, 24489.796]",0.0464617208887345
"(15, 20]","(-20, -19]","(24489.796, 24943.311]",0.0464617208887345
"(15, 20]","(-20, -19]","(24943.311, 25396.825]",0.0399049052339128
"(15, 20]","(-20, -19]","(25396.825, 25850.34]",0.0399049052339128
"(15, 20]","(-20, -19]","(25850.34, 26303.855]",0.0399049052339128
"(15, 20]","(-20, -19]","(26303.855, 26757.37]",0.0399049052339128
"(15, 20]","(-20, -19]","(26757.37, 27210.884]",0.0399049052339128
"(15, 20]","(-20, -19]","(27210.884, 27664.399]",0.0399049052339128
"(15, 20]","(-20, -19]","(27664.399, 28117.914]",0.0390304745829475
"(15, 20]","(-20, -19]","(28117.914, 28571.429]",0.0390304745829475
"(15, 20]","(-20, -19]","(28571.429, 29024.943]",0.042026330805057
"(15, 20]","(-20, -19]","(29024.943, 29478.458]",0.042026330805057
"(15, 20]","(-20, -19]","(29478.458, 29931.973]",0.042026330805057
"(15, 20]","(-20, -19]","(29931.973, 30385.488]",0.042026330805057
"(15, 20]","(-20, -19]","(30385.488, 30839.002]",0.0360117328725798
"(15, 20]","(-20, -19]","(30839.002, 31292.517]",0.0360117328725798
"(15, 20]","(-20, -19]","(31292.517, 31746.032]",0.0360117328725798
"(15, 20]","(-20, -19]","(31746.032, 32199.546]",0.0360117328725798
"(15, 20]","(-20, -19]","(32199.546, 32653.061]",0.0360117328725798
"(15, 20]","(-20, -19]","(32653.061, 33106.576]",0.0360117328725798
"(15, 20]","(-20, -19]","(33106.576, 33560.091]",0.0360117328725798
"(15, 20]","(-20, -19]","(33560.091, 34013.605]",0.0441570257308009
"(15, 20]","(-20, -19]","(34013.605, 34467.12]",0.0971474053307035
"(15, 20]","(-20, -19]","(34467.12, 34920.635]",0.0654033250774641
"(15, 20]","(-20, -19]","(34920.635, 35374.15]",0.0654033250774641
"(15, 20]","(-20, -19]","(35374.15, 35827.664]",0.0654033250774641
"(15, 20]","(-20, -19]","(35827.664, 36281.179]",0.0654033250774641
"(20, 25]","(-20, -19]","(11337.868, 11791.383]",0.0146385405303081
"(20, 25]","(-20, -19]","(11791.383, 12244.898]",0.0146385405303081
"(20, 25]","(-20, -19]","(12244.898, 12698.413]",0.0146385405303081
"(20, 25]","(-20, -19]","(12698.413, 13151.927]",0.0146385405303081
"(20, 25]","(-20, -19]","(13151.927, 13605.442]",0.0146385405303081
"(20, 25]","(-20, -19]","(13605.442, 14058.957]",0.0146385405303081
"(20, 25]","(-20, -19]","(14058.957, 14512.472]",0.0146385405303081
"(20, 25]","(-20, -19]","(14512.472, 14965.986]",0.0146385405303081
"(20, 25]","(-20, -19]","(14965.986, 15419.501]",0.0146385405303081
"(20, 25]","(-20, -19]","(15419.501, 15873.016]",0.0133254223367721
"(20, 25]","(-20, -19]","(15873.016, 16326.531]",0.0133254223367721
"(20, 25]","(-20, -19]","(16326.531, 16780.045]",0.0133254223367721
"(20, 25]","(-20, -19]","(16780.045, 17233.56]",0.0133254223367721
"(20, 25]","(-20, -19]","(17233.56, 17687.075]",0.0133254223367721
"(20, 25]","(-20, -19]","(17687.075, 18140.59]",0.0133254223367721
"(20, 25]","(-20, -19]","(18140.59, 18594.104]",0.019962434997196
"(20, 25]","(-20, -19]","(18594.104, 19047.619]",0.019962434997196
"(20, 25]","(-20, -19]","(19047.619, 19501.134]",0.019962434997196
"(20, 25]","(-20, -19]","(19501.134, 19954.649]",0.019962434997196
"(20, 25]","(-20, -19]","(19954.649, 20408.163]",0.0245921381218277
"(20, 25]","(-20, -19]","(20408.163, 20861.678]",0.0321690092103283
"(20, 25]","(-20, -19]","(20861.678, 21315.193]",0.0321690092103283
"(20, 25]","(-20, -19]","(21315.193, 21768.707]",0.0321690092103283
"(20, 25]","(-20, -19]","(21768.707, 22222.222]",0.0267459714632774
"(20, 25]","(-20, -19]","(22222.222, 22675.737]",0.0276956167985862
"(20, 25]","(-20, -19]","(22675.737, 23129.252]",0.0276956167985862
"(20, 25]","(-20, -19]","(23129.252, 23582.766]",0.0216172233670629
"(20, 25]","(-20, -19]","(23582.766, 24036.281]",0.0216172233670629
"(20, 25]","(-20, -19]","(24036.281, 24489.796]",0.0216172233670629
"(20, 25]","(-20, -19]","(24489.796, 24943.311]",0.0216172233670629
"(20, 25]","(-20, -19]","(24943.311, 25396.825]",0.0191004806193553
"(20, 25]","(-20, -19]","(25396.825, 25850.34]",0.0191004806193553
"(20, 25]","(-20, -19]","(25850.34, 26303.855]",0.0191004806193553
"(20, 25]","(-20, -19]","(26303.855, 26757.37]",0.0191004806193553
"(20, 25]","(-20, -19]","(26757.37, 27210.884]",0.0191004806193553
"(20, 25]","(-20, -19]","(27210.884, 27664.399]",0.0191004806193553
"(20, 25]","(-20, -19]","(27664.399, 28117.914]",0.0191004806193553
"(20, 25]","(-20, -19]","(28117.914, 28571.429]",0.0191004806193553
"(20, 25]","(-20, -19]","(28571.429, 29024.943]",0.0231564661231165
"(20, 25]","(-20, -19]","(29024.943, 29478.458]",0.0231564661231165
"(20, 25]","(-20, -19]","(29478.458, 29931.973]",0.0231564661231165
"(20, 25]","(-20, -19]","(29931.973, 30385.488]",0.0231564661231165
"(20, 25]","(-20, -19]","(30385.488, 30839.002]",0.0171418681906393
"(20, 25]","(-20, -19]","(30839.002, 31292.517]",0.0171418681906393
"(20, 25]","(-20, -19]","(31292.517, 31746.032]",0.0171418681906393
"(20, 25]","(-20, -19]","(31746.032, 32199.546]",0.0171418681906393
"(20, 25]","(-20, -19]","(32199.546, 32653.061]",0.0171418681906393
"(20, 25]","(-20, -19]","(32653.061, 33106.576]",0.0171418681906393
"(20, 25]","(-20, -19]","(33106.576, 33560.091]",0.0171418681906393
"(20, 25]","(-20, -19]","(33560.091, 34013.605]",0.0252871610488604
"(20, 25]","(-20, -19]","(34013.605, 34467.12]",0.0952480765587007
"(20, 25]","(-20, -19]","(34467.12, 34920.635]",0.0685698942933781
"(20, 25]","(-20, -19]","(34920.635, 35374.15]",0.0685698942933781
"(20, 25]","(-20, -19]","(35374.15, 35827.664]",0.0685698942933781
"(20, 25]","(-20, -19]","(35827.664, 36281.179]",0.0685698942933781
"(25, 30]","(-20, -19]","(11337.868, 11791.383]",0.0144135581963584
"(25, 30]","(-20, -19]","(11791.383, 12244.898]",0.0144135581963584
"(25, 30]","(-20, -19]","(12244.898, 12698.413]",0.0144135581963584
"(25, 30]","(-20, -19]","(12698.413, 13151.927]",0.0144135581963584
"(25, 30]","(-20, -19]","(13151.927, 13605.442]",0.0144135581963584
"(25, 30]","(-20, -19]","(13605.442, 14058.957]",0.0144135581963584
"(25, 30]","(-20, -19]","(14058.957, 14512.472]",0.0144135581963584
